 Boro-Block-Lot, Condo Section, Neighborhood, Building Classification, Total Units, Year Built, Gross SqFt, Est. Gross Income, Gross Income per SqFt, Full Market Value,Market Value per SqFt
1-01010-7502,513-R1,5,1,33,1923,32796,1211219.751,36.93193533,5526190.113,168.5019549
1-01010-7504,1153-R1,5,1,35,1922,88288,3872017.963,43.8566732,19461985.03,220.437489
1-01010-7505,1524-R1,5,1,103,1926,121921,5628473.109,46.16491916,28283077.37,231.9787188
1-01011-7501,11-R1,5,1,161,1930,159786,5477057.02,34.27745247,27477491.46,171.9643239
1-01011-7502,496-R1,5,1,420,1930,468144,21881977.79,46.74198065,110220332.6,235.4410877
1-01011-7503,696-R1,5,1,79,1950,78236,3295729.736,42.12548873,16614089.63,212.3586281
1-01011-7504,767-R1,5,2,34,1912,35328,1304731.411,36.93193533,6319792.772,178.8890617
1-01011-7505,1018-R1,5,1,80,1918,87821,4408996.184,50.20434958,22197015.28,252.7529324
1-01020-7502,1519-R1,5,1,137,2005,165323,9921759.81,60.01439491,49799602.12,301.2260975
1-01025-7501,606-R1,5,2,129,1916,128513,4968713.514,38.66311979,24176128.45,188.1220456
1-01027-7504,1278-R1,5,1,108,2002,185822,9607872.521,51.70470946,48253824.05,259.6776703
1-01028-7501,416-R1,5,1,484,1987,538783,20395756.38,37.85523371,98869672.74,183.5055537
1-01032-7501,1531-R1,5,1,528,2004,604403,26507104.85,43.8566732,132535524.3,219.283366
1-01040-7501,633-R1,5,1,704,1989,551052,25375672.85,46.04950686,127832337,231.9787188
1-01042-7502,1626-R1,5,1,215,2005,249339,12949554.12,51.93553405,65035538.48,260.8317932
1-01043-7501,288-R1,5,1,65,1942,54785,2086544.705,38.08605831,10116580.38,184.6596766
1-01043-7502,280-R1,5,1,65,1947,54655,2081593.517,38.08605831,10092574.62,184.6596766
1-01043-7503,1461-R1,5,1,66,2005,56935,2628399.672,46.16491916,13273418.34,233.1328417
1-01047-7501,115-R1,5,1,576,1904,609127,23902253.9,39.24018128,88578940.91,145.4194953
1-01047-7503,1750-R1,5,1,595,1978,706825,35648841.99,50.43517418,178652091.4,252.7529324
1-01048-7501,58-R1,5,1,261,1982,263995,12187307.83,46.16491916,61241221.87,231.9787188
1-01048-7503,538-R1,5,1,276,1987,314941,14539225.81,46.16491916,73059609.68,231.9787188
1-01048-7503,538-R2,5,1,20,1987,15764,709550.191,45.01079618,3565944.55,226.2081039
1-01048-7504,800-R1,5,2,188,1940,158478,5852899.247,36.93193533,24143209.39,152.3442332
1-01049-7501,1311-R1,5,1,129,1955,377444,24830157.24,65.7850098,123715169.4,327.770926
1-01049-7501,1311-R2,5,1,65,1955,217897,14334356.28,65.7850098,71671781.4,328.925049
1-01263-7501,1655-R1,5,1,152,2005,148385,6850181.53,46.16491916,34422162.19,231.9787188
1-01269-7501,90-R1,5,1,248,1982,503000,23801478.2,47.31904214,120168438.7,238.9034566
1-01270-7501,1599-R1,5,1,35,1925,44350,1791487.394,40.39430426,9008622.325,203.1256443
1-01271-7501,7-R2,5,1,183,1963,141738,5725407.897,40.39430426,28790622.57,203.1256443
1-01273-7501,141-R1,5,1,168,1969,206973,9554891.813,46.16491916,48013331.37,231.9787188
1-01274-7502,702-R1,5,1,88,1901,68219,3542990.197,51.93553405,17793684.1,260.8317932
1-01274-7503,1150-R1,5,1,11,1931,84843,4895962.795,57.70614895,24577733.23,289.6848677
1-01274-7504,1508-R1,5,1,164,1907,395521,19628634.61,49.62728809,86274696.32,218.129243
1-00228-7501,1432-R1,6,1,11,2003,18305,887335.3647,48.47502675,4455966.723,243.4289387
1-00473-7502,1179-R1,6,1,13,1890,78982,1896848.641,24.01621434,8489625.335,107.4881028
1-00473-7503,1663-R1,6,1,18,1874,27023,754639.7211,27.92583063,3645052.239,134.887031
1-00474-7504,1185-R1,6,1,13,1894,23590,658770.3446,27.92583063,3181985.061,134.887031
1-00474-7505,1205-R1,6,1,14,1920,28442,794266.4748,27.92583063,3866429.255,135.9408359
1-00474-7506,1654-R1,6,1,41,2005,117311,4561685.381,38.88540189,22993861.28,196.0077169
1-00475-7503,916-R1,6,2,20,1920,32149,821899.0737,25.56530759,3692786.439,114.8647373
1-00475-7505,1010-R1,6,1,14,1900,55210,1238082.533,22.4249689,5527154.165,100.1114683
1-00482-7502,1484-R1,6,1,52,2005,63762,2163605.259,33.93251873,10482062.75,164.393569
1-00498-7501,131-R1,6,1,14,1900,18031,458497.9108,25.42831295,2052124.922,113.8109324
1-00499-7502,685-R1,6,1,19,1988,34876,811495.2158,23.26801284,3638497.571,104.326688
1-00499-7505,1658-R1,6,1,14,2005,42823,1944977.514,45.41899246,9792578.204,228.6756697
1-00500-7501,123-R1,6,1,15,1907,20752,484825.9728,23.36285528,2164987.429,104.326688
1-00500-7502,284-R1,6,1,29,1900,36223,816880.2855,22.55142549,3664509.691,101.1652732
1-00500-7505,1241-R1,6,1,12,1879,34968,1547676.932,44.25980703,7775234.113,222.3528401
1-00501-7501,1199-R1,6,1,15,1920,31967,949972.8975,29.71729901,4581429.576,143.3174704
1-00502-7501,135-R1,6,1,35,1900,34821,928371.8985,26.66126471,4146483.183,119.079957
1-00512-7501,75-R1,6,1,21,1900,88258,2901809.523,32.8787138,14044014.03,159.1245443
1-00513-7503,1390-R1,6,1,32,2003,56800,2501985.816,44.04904605,12569785.2,221.2990352
1-00514-7505,1404-R1,6,1,15,2003,41314,1580389.356,38.25311894,7967252.125,192.8463021
1-00515-7501,1633-R1,6,1,16,2006,38591,1622628.702,42.04681668,8174144.592,211.8147908
1-00517-7501,736-R1,6,2,38,1950,20826,500600.6107,24.03729044,2238547.229,107.4881028
1-00518-7502,670-R1,6,0,27,1900,13020,305556.4299,23.46823578,1372054.018,105.3804929
1-00518-7504,1093-R1,6,0,15,1920,6013,142255.077,23.65792067,633652.9038,105.3804929
1-00520-7501,66-R1,6,1,38,1900,33383,949837.5887,28.45273309,4608471.266,138.0484458
1-00594-7503,1399-R1,6,1,104,2003,196695,8539860.216,43.41676309,42906579.24,218.1376204
1-00594-7504,1379-R1,6,1,22,1915,65085,2969812.503,45.62975344,14951942.85,229.7294746
1-00594-7505,1585-R1,6,1,64,2005,94226,3773241.285,40.04458732,18965502.24,201.2767415
1-00594-7506,1580-R1,6,1,13,2005,29579,1421374.618,48.05350478,7169214.083,242.3751338
1-00595-7502,1103-R1,6,1,12,1920,24850,1042244.689,41.94143619,5237410.5,210.7609859
1-00595-7503,1238-R1,6,1,12,1920,24193,711302.2041,29.40115753,3441784.859,142.2636655
1-00595-7504,1616-R1,6,1,40,2005,68865,3004409.446,43.62752408,15094617.5,219.1914253
1-00597-7502,1342-R1,6,1,14,1920,31930,1002710.144,31.4033869,4845310.76,151.7479098
1-00016-7501,308-R1,7,1,239,1985,219495,8642452.56,39.37425709,43462044.67,198.0092698
1-00016-7502,313-R1,7,1,133,1986,139719,5501331.826,39.37425709,27665657.17,198.0092698
1-00016-7503,385-R1,7,1,109,1985,105000,3823627.278,36.41549789,18520694.63,176.3875679
1-00016-7504,360-R1,7,1,107,1986,87479,3185591.34,36.41549789,15430208.05,176.3875679
1-00016-7505,371-R1,7,1,247,1987,255845,10073706.81,39.37425709,50659681.63,198.0092698
1-00016-7506,398-R1,7,1,121,1985,106129,3756044.552,35.39131201,18236743.65,171.8356307
1-00016-7507,450-R1,7,1,154,1986,126008,4574304.546,36.30169946,22226244.66,176.3875679
1-00016-7508,498-R1,7,1,546,1987,586224,26150857.57,44.60898491,132088515.3,225.3208932
1-00016-7509,621-R1,7,1,182,1988,208281,7584656.316,36.41549789,36738179.03,176.3875679
1-00016-7510,779-R1,7,1,293,1988,341489,13368153.86,39.14666023,67229378.41,196.8712855
1-00016-7511,780-R1,7,1,163,0,156260,5690285.7,36.41549789,27562321.36,176.3875679
1-00016-7513,1217-R1,7,1,117,2003,229060,10426667.43,45.51937236,52394003.85,228.7348461
1-00016-7514,1623-R1,7,1,234,2006,424004,19300395.96,45.51937236,96984489.69,228.7348461
1-00132-7501,401-R1,7,1,128,1987,115909,4352786.568,37.5534822,21104419.72,182.0774894
1-00132-7501,401-R2,7,1,133,1987,138016,5182981.399,37.5534822,25129606.78,182.0774894
1-00132-7503,1042-R1,7,1,11,2001,54500,2046664.78,37.5534822,10295344.04,188.9053953
1-00137-7503,1593-R1,7,1,12,1920,30062,1070775.638,35.61890887,5165722.73,171.8356307
1-00140-7501,499-R1,7,1,83,1987,89377,3244536.993,36.30169946,15663282.03,175.2495836
1-00140-7502,594-R1,7,1,80,1988,66551,2393194.202,35.96030416,11587301.05,174.1115993
1-00141-7504,996-R1,7,1,30,1910,90000,3287636.669,36.52929632,15977299.7,177.5255522
1-00142-7501,1507-R1,7,1,163,2006,182235,6138464.889,33.68433555,35669458.13,195.7333011
1-00142-7501,1507-R2,7,1,220,2006,535060,19971588.21,37.32588534,109600179.2,204.8371756
1-00142-7502,1629-R1,7,1,311,2005,314373,14310061.65,45.51937236,71908059.77,228.7348461
