 Boro-Block-Lot, Condo Section, Neighborhood, Building Classification, Total Units, Year Built, Gross SqFt, Est. Gross Income, Gross Income per SqFt, Full Market Value,Market Value per SqFt
1-00746-7506,1441-R1,0,1,77,1948,36000,1422900,39.525,6821550,189.4875
1-00751-7501,1328-R1,0,1,17,2002,15480,674831.25,43.59375,3383154,218.55
1-00766-7501,276-R1,0,1,16,1985,19718,893964.825,45.3375,4492746.3,227.85
1-00766-7502,629-R1,0,1,156,1989,141673,5764320.188,40.6875,27668736.9,195.3
1-00766-7503,1176-R1,0,1,11,1910,72256,2939916,40.6875,14027599.2,194.1375
1-00766-7504,1899-R1,0,1,31,1926,68206,2775131.625,40.6875,20298105.6,297.6
1-00767-7502,943-R1,0,1,32,1907,83519,2912725.125,34.875,13981080.6,167.4
1-00767-7503,2000-R1,0,1,37,2000,63723,2963119.5,46.5,14889675.49,233.6625
1-00767-7504,1305-R1,0,1,31,2002,52645,2447992.5,46.5,12301162.31,233.6625
1-00768-7501,249-R1,0,1,69,1939,51717,1803630.375,34.875,8657425.8,167.4
1-00768-7502,479-R1,0,1,109,1962,99750,3478781.25,34.875,16582190.63,166.2375
1-00768-7504,1442-R1,0,1,14,2004,23052,1152311.85,49.9875,5788357.2,251.1
1-00769-7505,1239-R1,0,1,43,1910,82151,2865016.125,34.875,13752077.4,167.4
1-00769-7506,1269-R1,0,1,12,2002,33378,1552077,46.5,7799186.925,233.6625
1-00773-7501,1427-R1,0,1,20,2004,36967,1718965.5,46.5,8637801.638,233.6625
1-00773-7502,1476-R1,0,1,12,1900,44800,2135280,47.6625,10728480,239.475
1-00774-7501,1140-R1,0,1,351,1910,552679,25699573.5,46.5,129140356.8,233.6625
1-00792-7501,157-R1,0,1,48,1918,39792,1248971.4,31.3875,5967307.8,149.9625
1-00793-7501,69-R1,0,1,35,1900,61572,2218900.95,36.0375,10665040.05,173.2125
1-00793-7505,1234-R1,0,1,51,2001,111514,4939094.453,44.29125,24760289.78,222.0375
1-00793-7506,1314-R1,0,1,18,1910,54708,2035137.6,37.2,9730501.65,177.8625
1-00793-7507,1861-R1,0,1,43,2006,67387,5091930.188,75.5625,25694663.1,381.3
1-00793-7508,1921-R1,0,1,38,2008,70840,4199926.5,59.2875,21081984,297.6
1-00794-7501,1596-R1,0,1,64,2005,118000,5761350,48.825,28943925,245.2875
1-00794-7502,1638-R1,0,1,26,2006,45457,2557638.105,56.265,12788190.53,281.325
1-00795-7501,1552-R1,0,1,67,1903,120050,5861441.25,48.825,29446764.38,245.2875
1-00796-7501,393-R1,0,1,45,1987,31800,1338223.5,42.0825,6691117.5,210.4125
1-00796-7502,781-R1,0,1,28,1875,41294,1440128.25,34.875,6912615.6,167.4
1-00796-7503,1116-R1,0,1,15,1905,32085,1249510.219,38.94375,6005108.813,187.1625
1-00796-7504,1437-R1,0,1,49,1900,84890,4440808.125,52.3125,22302725.25,262.725
1-00797-7502,1122-R1,0,1,22,1911,58449,2208276.281,37.78125,10599726.15,181.35
1-00797-7505,1372-R1,0,1,13,2003,37035,1394923.275,37.665,6673244.063,180.1875
1-00798-7502,177-R1,0,1,120,1973,80000,4361700,54.52125,21855000,273.1875
1-00798-7503,729-R1,0,1,21,1950,28124,1114870.515,39.64125,5361840.6,190.65
1-00798-7505,1845-R1,0,1,33,2006,66937,3346013.288,49.9875,16807880.7,251.1
1-00799-7501,1770-R1,0,1,20,1920,23621,963825.3788,40.80375,4613181.3,195.3
1-00800-7501,970-R1,0,1,34,1911,81331,3895348.245,47.895,19571288.51,240.6375
1-00800-7504,1851-R1,0,1,203,2006,334205,20202692.25,60.45,102179001.2,305.7375
1-00801-7502,1195-R1,0,1,25,1922,48276,2020350.6,41.85,10157873.85,210.4125
1-00802-7501,848-R1,0,1,24,1911,70181,3141038.381,44.75625,15664399.2,223.2
1-00803-7501,766-R1,0,1,93,1926,94649,4533213.855,47.895,22776098.74,240.6375
1-00764-7501,656-R1,0,0,22,1930,16478,530612.1975,32.20125,2547704.775,154.6125
1-00764-7502,794-R1,0,0,34,1930,19979,643348.7738,32.20125,3089003.138,154.6125
1-00389-7501,545-R1,1,2,30,1901,20940,611464.752,29.2008,2573247.498,122.8867
1-00390-7502,1125-R1,1,2,78,2001,65832,3067745.526,46.59961,14577798.58,221.4394
1-00399-7501,602-R1,1,2,17,1920,21314,596453.1074,27.9841,2515476.149,118.0199
1-00432-7502,840-R1,1,2,26,1900,21586,614307.6202,28.458613,2600104.934,120.4533
1-00446-7501,695-R1,1,2,28,2004,17793,779354.7516,43.8012,3701935.07,208.0557
1-00446-7502,705-R1,1,2,66,1920,67764,2473453.764,36.501,11295438.86,166.6879
1-00447-7501,777-R1,1,2,20,1900,11574,414013.3225,35.77098,1901081.583,164.2545
1-00462-7501,901-R1,1,2,34,1991,36693,1571481.933,42.82784,7455610.308,203.1889
1-00466-7501,1804-R1,1,2,28,2006,30662,1794440.505,58.52327,8953549.296,292.008
1-00468-7501,203-R1,1,2,16,1900,21607,694035.8542,32.12088,3180997.665,147.2207
1-00469-7502,493-R1,1,2,155,1964,113930,4505105.508,39.54275,21485887.81,188.5885
1-00375-7501,1213-R1,1,1,25,2001,27798,859074.3956,30.90418,3720400.926,133.837
1-00384-7503,1720-R1,1,1,23,2005,34734,1276277.906,36.74434,6127824.381,176.4215
1-00385-7501,1618-R1,1,1,47,2005,36472,2041272.19,55.9682,9718230.646,266.4573
1-00390-7501,1183-R1,1,1,16,2000,15704,640086.4028,40.75945,3057129.088,194.672
1-00392-7501,341-R1,1,1,83,1928,78982,2450483.685,31.02585,10666811.33,135.0537
1-00397-7501,489-R1,1,1,21,1920,20038,619257.9588,30.90418,2681825.806,133.837
1-00397-7502,628-R1,1,1,16,1920,19854,579752.6832,29.2008,2512261.627,126.5368
1-00405-7504,1447-R1,1,1,26,1965,29906,1273532.057,42.5845,6112953.874,204.4056
1-00432-7501,714-R1,1,1,32,1991,23605,1088495.713,46.11293,5456838.665,231.173
1-00434-7501,642-R1,1,1,20,1920,11229,377080.1507,33.58092,1803426.808,160.6044
1-00438-7502,1207-R1,1,1,13,2001,15742,704841.1235,44.77456,3543358.909,225.0895
1-00440-7502,1264-R1,1,1,27,1900,30363,1111974.129,36.62267,5319743.342,175.2048
1-00441-7501,292-R1,1,1,40,1911,25528,990811.3714,38.81273,4752167.393,186.1551
1-00441-7503,1766-R1,1,1,96,2006,93382,4987824.906,53.41313,25109551.35,268.8907
1-00444-7501,271-R1,1,1,20,1900,17225,668549.2743,38.81273,3206521.598,186.1551
1-00451-7502,1231-R1,1,1,35,1999,62556,2907474.015,46.47794,14613481.96,233.6064
1-00463-7501,224-R1,1,1,36,1984,24528,1336976.148,54.50816,6714723.96,273.7575
1-00464-7501,643-R1,1,1,14,1900,14650,572171.4255,39.05607,2744996.87,187.3718
1-00469-7501,390-R1,1,1,16,1920,12192,443536.7914,36.37933,2136096.922,175.2048
1-00386-7501,548-R1,1,0,13,1920,18990,531418.059,27.9841,2310513.3,121.67
1-00393-7501,1138-R1,1,0,35,1999,36046,1359572.214,37.7177,6490860.894,180.0716
1-00394-7502,1113-R1,1,0,12,2001,15957,582446.457,36.501,2795742.994,175.2048
1-00394-7503,1124-R1,1,0,12,2001,11495,474124.2644,41.24613,2279712.54,198.3221
1-00398-7501,394-R1,1,0,41,1987,35664,1258379.275,35.2843,6031542.043,169.1213
1-00405-7503,1104-R1,1,0,12,1999,14376,524738.376,36.501,2518744.205,175.2048
1-00406-7501,852-R1,1,0,24,1900,15021,383797.0647,25.5507,1663120.614,110.7197
1-00407-7501,338-R1,1,0,18,1920,11033,268477.022,24.334,1127603.492,102.2028
1-00407-7502,1081-R1,1,0,18,1999,19119,679252.9492,35.52764,3256692.222,170.338
1-00440-7503,1503-R1,1,0,13,1900,20099,621143.1138,30.90418,2689989.863,133.837
1-00465-7501,1972-R1,1,0,12,1900,14269,532985.5336,37.35269,2552080.568,178.8549
1-00525-7501,150-R1,2,2,190,1910,132000,3861084.48,29.25064,16265198.4,123.2212
1-00525-7503,646-R1,2,2,54,1958,23688,695617.0704,29.3658,3191654.794,134.7372
1-00535-7501,295-R1,2,2,273,1908,290492,11039509.38,38.0028,50514118.67,173.8916
1-00540-7501,567-R1,2,2,18,1900,15744,471400.5504,29.9416,2157564.058,137.0404
1-00542-7501,484-R1,2,2,24,1928,17842,536272.7119,30.05676,2445074.817,137.0404
1-00542-7502,644-R1,2,2,40,1900,22777,726570.8116,31.89932,3304979.143,145.1016
1-00544-7502,1496-R1,2,2,39,2004,116535,5636471.652,48.3672,26840341.2,230.32
1-00548-7501,797-R1,2,2,390,1965,445151,17942256.21,40.306,85097558.01,191.1656
1-00557-7501,39-R1,2,2,65,1900,83089,2535660.249,30.5174,11673605.67,140.4952
1-00560-7501,306-R1,2,2,145,1955,136098,4153357.105,30.5174,18964385.27,139.3436
1-00560-7502,304-R1,2,2,150,1959,160209,5350403.848,33.3964,24538059.03,153.1628
1-00560-7503,303-R1,2,2,213,1954,140370,4364552.484,31.0932,20044611.41,142.7984
1-00561-7501,787-R1,2,2,229,1955,209785,6764475.368,32.2448,30923315.97,147.4048
1-00571-7501,27-R1,2,2,39,1928,42384,1308092.306,30.86288,5954748.557,140.4952
1-00572-7501,747-R1,2,2,23,1952,13256,427437.0688,32.2448,2045591.686,154.3144
1-00573-7502,89-R1,2,2,119,1959,94250,2876264.95,30.5174,13133134.3,139.3436
1-00575-7501,515-R1,2,2,15,1900,9380,293814.6176,31.32352,1350251,143.95
1-00576-7503,886-R1,2,2,30,1910,34168,983696.72,28.79,4170874.093,122.0696
1-00584-7501,743-R1,2,2,169,1925,100633,2897224.07,28.79,12168341.09,120.918
1-00590-7502,608-R1,2,2,86,1930,89510,2618224.786,29.25064,11957247.06,133.5856
1-00593-7501,663-R1,2,2,30,1910,21738,751004.424,34.548,3454620.35,158.9208
1-00612-7502,626-R1,2,2,30,1910,19715,576676.3676,29.25064,2429305.958,123.2212
1-00612-7503,698-R1,2,2,25,1905,13997,436823.4149,31.20836,1998749.205,142.7984
1-00616-7501,445-R1,2,2,241,1931,209011,6113705.517,29.25064,25754586.23,123.2212
1-00623-7501,776-R1,2,2,60,1920,32638,1052405.782,32.2448,4810997.862,147.4048
1-00624-7504,640-R1,2,2,87,1939,75154,2812788.758,37.427,12895554.61,171.5884
1-00631-7501,18-R1,2,2,20,1910,53943,1832562.385,33.9722,8759026.991,162.3756
1-00521-7501,630-R1,2,1,18,1988,9514,383471.284,40.306,1840662.163,193.4688
1-00522-7501,348-R1,2,1,11,1910,31039,929357.3224,29.9416,4039129.901,130.1308
1-00525-7502,212-R1,2,1,11,1910,6670,207391.644,31.0932,990871.188,148.5564
1-00525-7506,1685-R1,2,1,144,1910,85234,2944664.232,34.548,14036232.84,164.6788
1-00529-7502,494-R1,2,1,20,1904,24630,845244.4584,34.31768,4056038.844,164.6788
1-00529-7504,631-R1,2,1,21,1900,41990,1305603.468,31.0932,6237883.236,148.5564
1-00530-7505,1721-R1,2,1,26,2006,85000,4111212,48.3672,20653946,242.9876
1-00531-7501,70-R1,2,1,56,1912,92500,3515259,38.0028,16830634,181.9528
1-00544-7501,2004-R1,2,1,25,1920,88353,3917271.62,44.3366,19738979.07,223.4104
1-00545-7503,1341-R1,2,1,50,1930,96566,3069269.195,31.78416,14790318.94,153.1628
1-00552-7501,349-R1,2,1,28,1986,43106,1325411.218,30.74772,5758340.874,133.5856
1-00552-7504,1660-R1,2,1,28,1966,32116,1268578.146,39.49988,6065504.838,188.8624
1-00556-7501,330-R1,2,1,11,1905,28385,895655.7484,31.55384,4282149.746,150.8596
1-00558-7501,210-R1,2,1,41,1985,56483,1886328.861,33.3964,9041369.369,160.0724
1-00558-7502,446-R1,2,1,70,1905,90082,2904676.074,32.2448,13900949.78,154.3144
1-00558-7503,684-R1,2,1,44,1988,57042,1904997.449,33.3964,9130849.841,160.0724
1-00559-7501,1742-R1,2,1,84,2006,100500,5092375.2,50.6704,25577611.8,254.5036
1-00563-7501,298-R1,2,1,44,1985,43542,1504289.016,34.548,7220587.277,165.8304
1-00567-7501,1177-R1,2,1,96,1921,81875,3488628.25,42.6092,17537428.5,214.1976
1-00569-7501,154-R1,2,1,27,1907,66739,1998272.442,29.9416,8684799.461,130.1308
1-00569-7502,205-R1,2,1,12,1908,28097,857447.3878,30.5174,3720998.098,132.434
1-00569-7503,248-R1,2,1,37,1910,52493,1632175.348,31.0932,7798171.105,148.5564
1-00569-7504,1028-R1,2,1,115,1903,60860,2032504.904,33.3964,9742006.264,160.0724
1-00575-7502,1895-R1,2,1,17,1912,34118,982257.22,28.79,4243351.19,124.3728
1-00576-7501,3-R1,2,1,70,1966,82017,2550170.984,31.0932,12184150.26,148.5564
1-00576-7502,421-R1,2,1,105,1931,112050,3742066.62,33.3964,17936112.42,160.0724
1-00577-7502,1180-R1,2,1,77,1906,201330,8114806.98,40.306,38951073.5,193.4688
1-00528-7501,426-R1,2,1,32,1986,35225,1216953.3,34.548,5841375.84,165.8304
1-00528-7502,495-R1,2,1,12,1986,15990,552422.52,34.548,2651628.096,165.8304
1-00589-7501,48-R1,2,1,43,1929,66282,2213580.185,33.3964,10609918.82,160.0724
1-00592-7501,562-R1,2,1,45,1900,21494,680693.486,31.669,3267328.733,152.0112
1-00593-7502,1678-R1,2,1,18,1915,44820,1651670.784,36.8512,7897050.936,176.1948
1-00601-7501,542-R1,2,1,184,1920,212232,8065410.25,38.0028,38616206.65,181.9528
1-00602-7501,1368-R1,2,1,142,2002,310000,16243318,52.3978,81395088,262.5648
1-00604-7501,79-R1,2,1,83,1920,88227,3149668.609,35.6996,15037127.55,170.4368
1-00608-7501,487-R1,2,1,214,1961,165160,5877126.11,35.58444,28149341.89,170.4368
1-00609-7502,965-R1,2,1,18,1912,46687,1510789.453,32.35996,7204476.393,154.3144
1-00610-7501,366-R1,2,1,113,1931,120723,4142933.283,34.31768,19741494.17,163.5272
1-00612-7501,530-R1,2,1,21,1987,18780,841292.1672,44.79724,4217274.36,224.562
1-00612-7504,850-R1,2,1,122,1964,92616,2709077.274,29.25064,11732224.42,126.676
1-00618-7501,447-R1,2,1,132,1987,101634,4143276.69,40.76664,19780049.73,194.6204
1-00620-7501,1087-R1,2,1,22,1998,41506,2361236.494,56.88904,11853980.78,285.5968
1-00624-7502,106-R1,2,1,15,1983,27448,954595.3274,34.77832,4583321.936,166.982
1-00624-7503,439-R1,2,1,128,1910,138934,4319902.649,31.0932,20799531.27,149.708
1-00625-7501,363-R1,2,1,182,1930,159268,4713714.84,29.59612,20542259.23,128.9792
1-00629-7501,469-R1,2,1,21,1907,30312,1221755.472,40.306,5864426.266,193.4688
1-00629-7502,544-R1,2,1,49,1962,32863,1135350.924,34.548,5449684.435,165.8304
1-00629-7503,1057-R1,2,1,47,1920,123881,5706454.384,46.064,28532271.92,230.32
1-00629-7504,1120-R1,2,1,11,1920,23425,1000818.133,42.72436,5017578.78,214.1976
1-00631-7502,376-R1,2,1,77,1987,73176,2991566.597,40.8818,14410081.35,196.9236
1-00635-7501,158-R1,2,1,24,1930,42407,1670187.821,39.38472,8009087.797,188.8624
1-00636-7501,1011-R1,2,1,24,1997,38871,2005420.193,51.59168,10071864.81,259.11
1-00636-7502,1542-R1,2,1,20,1900,11852,495450.1042,41.80308,2484074.902,209.5912
1-00637-7502,473-R1,2,1,81,1987,60200,2565073.84,42.6092,12894695.52,214.1976
1-00637-7504,1229-R1,2,1,23,2001,88141,4892453.064,55.50712,24563768.5,278.6872
1-00637-7505,1453-R1,2,1,29,2004,72225,3742843.95,51.822,18797394.06,260.2616
1-00638-7501,576-R1,2,1,24,1988,21991,886369.246,40.306,4254572.381,193.4688
1-00638-7502,1211-R1,2,1,18,1999,39213,1842433.785,46.98528,9257326.614,236.078
1-00641-7501,329-R1,2,1,27,1910,20546,747680.4458,36.39056,3501794.493,170.4368
1-00642-7502,1066-R1,2,1,84,1997,147335,6905609.13,46.87012,34612881.14,234.9264
1-00572-7502,1256-R1,2,0,18,1900,14398,518977.0618,36.04508,2487110.52,172.74
1-00587-7501,293-R1,2,0,30,1929,19320,556222.8,28.79,2425131.408,125.5244
1-00620-7502,1459-R1,2,0,40,1893,18403,610355.3702,33.16608,2924619.482,158.9208
1-00621-7503,1688-R1,2,0,21,1914,13648,506088.585,37.08152,2436140.704,178.498
1-00643-7501,314-R1,2,0,12,1910,11270,391951.6664,34.77832,1881887.14,166.982
1-01600-7501,1073-R1,3,2,240,1999,312016,8057625.99,25.8244,36834861.67,118.0544
1-01745-7501,1382-R1,3,2,92,2003,97592,2637266.677,27.02339,12061219.61,123.5882
1-01901-7501,1478-R1,3,2,28,2004,52916,1659350.511,31.3582,7906317.142,149.4126
1-01901-7501,1478-R2,3,2,23,2004,37719,1182799.946,31.3582,5600905.626,148.4903
1-01947-7501,1289-R1,3,2,74,2003,93600,2589818.4,27.669,11913164.64,127.2774
1-02034-7501,1365-R1,3,2,104,1920,143389,3702934.892,25.8244,16927702.36,118.0544
1-02044-7501,1422-R1,3,2,128,2003,212047,5867128.443,27.669,26793219.89,126.3551
1-02045-7502,1717-R1,3,2,135,2005,164085,4540067.865,27.669,19219620.63,117.1321
1-02051-7501,1327-R1,3,2,77,2001,91858,2541619.002,27.669,11606726.78,126.3551
1-01623-7501,1322-R1,3,2,152,2003,109646,2629289.151,23.9798,11022789.13,100.5307
1-01646-7502,1512-R2,3,2,215,2005,184939,5782297.226,31.26597,27461647.59,148.4903
1-01674-7501,1471-R1,3,2,233,2003,315656,8471869.288,26.83893,38720227.33,122.6659
1-01599-7501,1359-R1,3,1,129,2003,163480,4674105.724,28.5913,22465863,137.4227
1-01599-7502,1735-R1,3,1,248,2006,395140,11297566.28,28.5913,54301205.68,137.4227
1-01720-7501,1323-R1,3,1,36,1909,40987,677795.4201,16.536839,2683964.017,65.4833
1-01721-7501,751-R1,3,1,24,1900,27073,424230.58,15.669877,1672951.669,61.7941
1-01724-7501,1713-R1,3,1,23,2005,32150,668651.3598,20.797865,2905890.61,90.3854
1-01727-7501,1578-R1,3,1,77,2005,131237,3449636.725,26.28555,16461424.37,125.4328
1-01729-7501,846-R1,3,1,34,1898,28408,498075.2766,17.532923,1965052.38,69.1725
1-01753-7501,1525-R1,3,1,12,2005,12000,323173.92,26.93116,1549464,129.122
1-01753-7502,1656-R1,3,1,18,2004,15023,368561.9631,24.53318,1607262.696,106.9868
1-01820-7501,592-R1,3,1,35,1910,36637,709596.4071,19.3683,3074917.764,83.9293
1-01820-7502,1520-R1,3,1,17,1900,22039,609797.091,27.669,2927026.037,132.8112
1-01820-7503,1768-R1,3,1,48,2006,189758,5775455.512,30.4359,27652180.94,145.7234
1-01823-7501,807-R1,3,1,54,1915,58429,970003.2006,16.6014,3826123.736,65.4833
1-01823-7502,1545-R1,3,1,15,1900,18567,428108.6025,23.0575,1866553.507,100.5307
1-01826-7501,591-R1,3,1,35,1911,48636,897139.656,18.446,3902557.504,80.2401
1-01828-7501,749-R1,3,1,14,1900,18448,289248.0368,15.6791,1139977.557,61.7941
1-01828-7502,1332-R1,3,1,13,1920,23700,393453.18,16.6014,1551954.21,65.4833
1-01829-7501,1440-R1,3,1,33,0,28560,632181.312,22.1352,2739452.352,95.9192
1-01830-7501,1799-R1,3,1,15,2005,20184,744628.128,36.892,4058223.298,201.0614
1-01903-7501,1495-R1,3,1,25,1910,44329,1022115.918,23.0575,4456425.4,100.5307
1-01908-7502,1699-R1,3,1,21,1906,46991,1083494.983,23.0575,4724038.124,100.5307
1-01914-7502,1690-R1,3,1,19,2007,29315,919265.633,31.3582,4407067.594,150.3349
1-01922-7501,1733-R1,3,1,16,1910,15210,280563.66,18.446,1220451.921,80.2401
1-01924-7501,1348-R1,3,1,64,2003,63252,1633444.949,25.8244,7817200.826,123.5882
1-01924-7502,1488-R1,3,1,74,2003,59844,1876600.121,31.3582,8941447.634,149.4126
1-01924-7502,1488-R2,3,1,22,2004,19500,611484.9,31.3582,2913545.7,149.4126
1-01930-7501,1712-R1,3,1,11,1910,25230,581740.725,23.0575,2536389.561,100.5307
1-01942-7502,1284-R1,3,1,36,1933,38386,708068.156,18.446,3080096.479,80.2401
1-01943-7501,793-R1,3,1,41,1900,45436,921923.7016,20.2906,4022939.789,88.5408
1-01943-7502,1373-R1,3,1,49,1901,66936,1296436.529,19.3683,5617891.625,83.9293
1-01945-7502,1391-R1,3,1,48,2003,108510,3102441.963,28.5913,14811658.4,136.5004
1-01945-7504,1762-R1,3,1,93,2006,108572,3004078.668,27.669,14419577.61,132.8112
1-01946-7501,1681-R1,3,1,54,2006,67413,1865250.297,27.669,8953201.426,132.8112
1-01959-7501,1423-R1,3,1,170,2003,240000,5533800,23.0575,24127368,100.5307
1-02041-7503,1716-R1,3,1,14,1894,18306,590926.833,32.2805,2836448.798,154.9464
1-02045-7501,1640-R1,3,1,180,2005,204835,5667579.615,27.669,27204382.15,132.8112
1-01627-7501,1628-R1,3,1,13,2004,6342,193609.4005,30.52813,930027.0294,146.6457
1-01630-7502,1801-R1,3,1,11,2006,12184,405666.6455,33.29503,2033951.879,166.9363
1-01661-7501,1403-R1,3,1,22,2003,25721,664229.3924,25.8244,3178812.092,123.5882
1-01667-7501,1829-R1,3,1,12,1910,12222,276736.2072,22.642465,1194869.164,97.7638
1-01676-7504,1905-R1,3,1,38,2007,32660,831375.9768,25.45548,3976145.976,121.7436
1-01677-7503,574-R1,3,1,36,1929,33280,636289.6051,19.119279,2762472.96,83.007
1-01680-7501,458-R1,3,1,33,1926,46998,784133.7602,16.684407,3077584.133,65.4833
1-01680-7502,1883-R1,3,1,28,2007,25174,949615.3902,37.72207,4759685.941,189.0715
1-01681-7501,1573-R1,3,1,31,2006,32483,1198362.836,36.892,6021773.251,185.3823
1-01683-7501,1479-R1,3,1,20,2004,22295,631274.23,28.31461,3022713.74,135.5781
1-01788-7501,1820-R1,3,1,11,2006,10585,369024.2199,34.86294,1767020.736,166.9363
1-01807-7501,1732-R1,3,1,12,2006,9745,267836.8423,27.48454,1285257.331,131.8889
1-02067-7502,9823-R2,3,1,20,1920,17565,486005.985,27.669,2316628.529,131.8889
1-02079-7501,1490-R1,3,1,12,2005,12000,442704,36.892,2224587.6,185.3823
1-02090-7501,1832-R1,3,1,54,1908,30886,569723.156,18.446,2478295.729,80.2401
1-02092-7501,1897-R1,3,1,25,1926,24132,233697.9078,9.68415,725576.3614,30.06698
1-02093-7501,1896-R1,3,1,35,1920,30441,561514.686,18.446,2442588.884,80.2401
1-02094-7501,1673-R1,3,1,50,1913,86020,1824733.658,21.2129,7933624.6,92.23
1-02095-7501,1710-R1,3,1,50,2005,67805,1876096.545,27.669,9005263.416,132.8112
1-02096-7501,1680-R1,3,1,74,1912,107100,1382896.62,12.9122,5037694.83,47.0373
1-01988-7501,1273-R1,3,1,13,2002,21862,685552.9684,31.3582,3286621.584,150.3349
1-01988-7502,1565-R1,3,1,29,2006,31308,981762.5256,31.3582,4706685.049,150.3349
1-01729-7503,1530-R1,3,0,12,2004,15230,369426.3427,24.25649,1601315.706,105.1422
1-01755-7501,1470-R1,3,0,25,2004,40418,1200336.189,29.69806,5740738.296,142.0342
1-01826-7502,1662-R1,3,0,24,0,18540,290690.514,15.6791,1145662.614,61.7941
1-01828-7503,1540-R1,3,0,13,1900,6866,189975.354,27.669,911881.6992,132.8112
1-01828-7505,1684-R1,3,0,14,0,6846,189421.974,27.669,909225.4752,132.8112
1-01831-7501,1657-R1,3,0,20,1900,7852,217256.988,27.669,1042833.542,132.8112
1-01942-7501,887-R1,3,0,32,1994,35082,808903.215,23.0575,3526818.017,100.5307
1-01955-7501,1340-R1,3,0,15,1910,23765,482206.109,20.2906,2104172.112,88.5408
1-01960-7502,899-R1,3,0,28,1994,41964,851474.7384,20.2906,3715526.131,88.5408
1-02023-7503,874-R1,3,0,28,1993,30976,628521.6256,20.2906,2742639.821,88.5408
1-02041-7502,900-R1,3,0,28,1994,36188,734276.2328,20.2906,3204114.47,88.5408
1-02042-7502,974-R1,3,0,47,1896,76584,1553935.31,20.2906,6780808.627,88.5408
1-01630-7501,441-R1,3,0,17,1920,9590,170617.2915,17.791167,742967.988,77.4732
1-01630-7501,441-R2,3,0,17,1920,9590,170617.2915,17.791167,742967.988,77.4732
1-01632-7501,666-R1,3,0,12,1910,7690,142984.5379,18.593568,624138.856,81.1624
1-01676-7501,342-R1,3,0,12,1900,6092,115294.7308,18.925596,500059.9924,82.0847
1-02066-7501,561-R1,3,0,38,1926,25050,508279.53,20.2906,2194843.425,87.6185
1-01327-7501,795-R1,4,2,146,1957,126021,4902807.938,38.90469,23291932.14,184.8258
1-01331-7502,563-R1,4,2,260,1964,305093,10442418.11,34.227,47687042.71,156.3033
1-01349-7501,510-R1,4,2,174,1960,198115,6848690.926,34.56927,31418087.09,158.5851
1-01350-7501,178-R1,4,2,115,1958,95347,3263441.769,34.227,14903050.75,156.3033
1-01314-7501,319-R1,4,1,364,1986,351161,14823664.64,42.2133,74518962.79,212.2074
