 Boro-Block-Lot, Condo Section, Neighborhood, Building Classification, Total Units, Year Built, Gross SqFt, Est. Gross Income, Gross Income per SqFt, Full Market Value,Market Value per SqFt
1-00794-7501,1596-R1,0,1,64,2005,118000,5952156,50.442,29193908,247.406
1-00794-7502,1638-R1,0,1,26,2006,45457,2582289.436,56.8073,12720368.68,279.833
1-00795-7501,1552-R1,0,1,67,1903,120050,6127652.125,51.0425,29989450.4,249.808
1-00795-7502,2031-R1,0,1,35,2008,40339,1400122.317,34.7089,5813656.68,144.12
1-00796-7501,393-R1,0,1,45,1987,31800,1416915.78,44.5571,6607181.4,207.773
1-00796-7502,781-R1,0,1,28,1875,41294,1562213.961,37.8315,7290331.818,176.547
1-00796-7503,1116-R1,0,1,15,1905,32085,1321719.116,41.1943,6165453.6,192.16
1-00796-7504,1437-R1,0,1,49,1900,84890,4587880.05,54.045,22531588.69,265.421
1-00797-7501,1839-R1,0,1,52,2006,77419,4202705.899,54.2852,20641608.62,266.622
1-00797-7502,1122-R1,0,1,22,1911,58449,2597298.213,44.437,12144124.08,207.773
1-00797-7505,1372-R1,0,1,13,2003,37035,1561214.129,42.1551,7294561.74,196.964
1-00797-7507,1963-R1,0,1,52,1911,68395,3244624.603,47.4395,15935624.63,232.994
1-00798-7502,177-R1,0,1,120,1973,80000,4534976,56.6872,22386640,279.833
1-00798-7503,729-R1,0,1,21,1950,28124,1080861.568,38.432,5032761.676,178.949
1-00798-7505,1845-R1,0,1,33,2006,66937,3480944.892,52.0033,17042963.44,254.612
1-00798-7506,1869-R1,0,1,99,2008,112888,4799478.475,42.5154,22370450.52,198.165
1-00799-7501,1770-R1,0,1,20,1920,23621,1080852.08,45.7581,5304969.527,224.587
1-00800-7501,970-R1,0,1,33,1911,75929,4085344.659,53.8048,20061960.38,264.22
1-00800-7504,1851-R1,0,1,203,2006,334205,20871770.66,62.452,103556092.9,309.858
1-00801-7502,1195-R1,0,1,25,1922,48276,2040877.555,42.2752,9508634.064,196.964
1-00802-7501,848-R1,0,1,24,1911,70181,3245064.169,46.2385,16014602.39,228.19
1-00803-7501,766-R1,0,1,93,1926,94649,4876590.962,51.5229,23871424.29,252.21
1-00375-7501,1213-R1,1,1,25,2001,27798,864369.9146,31.09468,3573182.718,128.541
1-00384-7503,1720-R1,1,1,23,2005,34734,1284145.157,36.97084,5995512.155,172.6122
1-00385-7501,1618-R1,1,1,47,2005,36472,1964556.986,53.8648,9644188.838,264.4272
1-00386-7501,548-R1,1,0,13,1920,18990,534693.834,28.1566,2208518.01,116.299
1-00389-7501,545-R1,1,2,30,1901,20940,615233.952,29.3808,2537840.052,121.1958
1-00390-7501,1183-R1,1,1,16,2000,15704,640187.0654,40.76586,2979849.704,189.751
1-00390-7502,1125-R1,1,2,78,2001,65832,3086655.768,46.88686,15151208.47,230.1496
1-00392-7501,341-R1,1,1,83,1928,78982,2484926.945,31.46194,10345804.79,130.9894
1-00393-7501,1138-R1,1,0,35,1999,36046,1359127.407,37.70536,6310234.388,175.0606
1-00394-7502,1113-R1,1,0,12,2001,15957,589943.6939,36.97084,2754372.875,172.6122
1-00394-7503,1124-R1,1,0,12,2001,11495,474232.4323,41.25554,2209332.103,192.1994
1-00397-7501,489-R1,1,1,21,1920,20038,618169.0939,30.84984,2575704.558,128.541
1-00397-7502,628-R1,1,1,16,1920,19854,583326.4032,29.3808,2406221.413,121.1958
1-00398-7501,394-R1,1,0,41,1987,35664,1257404.221,35.25696,5195524.387,145.6798
1-00399-7501,602-R1,1,2,17,1920,21314,600129.7724,28.1566,2478796.886,116.299
1-00405-7503,1104-R1,1,0,12,1999,14376,524453.1562,36.48116,2428675.69,168.9396
1-00405-7504,1447-R1,1,1,26,1965,29906,1270399.104,42.47974,5930969.882,198.3204
1-00406-7501,852-R1,1,0,24,1900,15021,386162.8722,25.7082,1599817.613,106.5054
1-00407-7501,338-R1,1,0,18,1920,11033,270131.972,24.484,1012994.895,91.815
1-00407-7502,1081-R1,1,0,18,1999,19119,678758.9142,35.5018,3159739.773,165.267
1-00432-7501,714-R1,1,1,32,1991,23605,1095205.434,46.39718,5114811.657,216.6834
1-00432-7502,840-R1,1,2,26,1900,21586,660639.53,30.605,2748260.445,127.3168
1-00434-7501,642-R1,1,1,20,1920,11229,428892.1042,38.19504,1993248.561,177.509
1-00438-7502,1207-R1,1,1,13,2001,15742,709185.9155,45.05056,3314673.301,210.5624
1-00440-7502,1264-R1,1,1,27,1900,30363,1286095.307,42.35732,5984431.921,197.0962
1-00440-7503,1503-R1,1,0,13,1900,20099,691406.002,34.40002,2854202.713,142.0072
1-00441-7501,292-R1,1,1,40,1911,25528,1028170.323,40.27618,4781460.773,187.3026
1-00441-7503,1766-R1,1,1,96,2006,93382,5144320.998,55.089,25264332.01,270.5482
1-00443-7502,1970-R1,1,1,11,2007,14982,649270.1398,43.33668,3026259.126,201.993
1-00444-7501,271-R1,1,1,20,1900,17225,723278.7835,41.99006,3373895.2,195.872
1-00446-7501,695-R1,1,2,28,2004,17793,784158.8616,44.0712,3637625.83,204.4414
1-00446-7502,705-R1,1,2,66,1920,67764,2629727.035,38.80714,12277589.94,181.1816
1-00447-7501,777-R1,1,2,20,1900,11574,477491.62,41.25554,2224515.856,192.1994
1-00451-7502,1231-R1,1,1,35,1999,62556,2940712.52,47.00928,14473819.43,231.3738
1-00459-7502,2025-R1,1,1,14,2007,24778,740737.418,29.894964,3063655.988,123.6442
1-00462-7501,901-R1,1,2,34,1991,36693,1531757.357,41.74522,7142211.725,194.6478
1-00463-7501,224-R1,1,1,36,1984,24528,1345217.556,54.84416,6605979.072,269.324
1-00464-7501,643-R1,1,1,14,1900,14650,575698.413,39.29682,2672244.97,182.4058
1-00464-7503,1959-R1,1,1,12,1920,13648,611508.4666,44.80572,2857047.754,209.3382
1-00465-7501,1972-R1,1,0,12,1900,14269,557232.7026,39.05198,2602748.36,182.4058
1-00466-7501,1804-R1,1,2,28,2006,30662,1805501.821,58.88402,8858595.214,288.9112
1-00468-7501,203-R1,1,2,16,1900,21607,735345.8453,34.03276,3041898.281,140.783
1-00469-7501,390-R1,1,1,16,1920,12192,526868.2579,43.21426,2447773.21,200.7688
1-00469-7502,493-R1,1,2,155,1964,113930,5244188.786,46.02992,24547266.66,215.4592
1-00521-7501,630-R1,2,1,18,1988,9514,378830.8305,39.81825,1768605.03,185.895
1-00522-7501,348-R1,2,1,11,1910,31039,926048.565,29.835,3846663.27,123.93
1-00525-7501,150-R1,2,2,190,1910,132000,3847338,29.1465,15904350,120.4875
1-00525-7502,212-R1,2,1,11,1910,6670,205887.8925,30.86775,849574.575,127.3725
1-00525-7503,646-R1,2,2,54,1958,23688,706731.48,29.835,2935653.84,123.93
1-00525-7506,1685-R1,2,1,144,1910,85234,3031986.465,35.5725,14084066.16,165.24
1-00529-7502,494-R1,2,1,20,1904,24630,842235.165,34.1955,3928546.575,159.5025
1-00529-7504,631-R1,2,1,21,1900,41990,1334683.643,31.78575,5541105.375,131.9625
1-00530-7505,1721-R1,2,1,26,2006,85000,4096575,48.195,20092725,236.385
1-00531-7501,70-R1,2,1,56,1912,92500,3715031.25,40.1625,17301431.25,187.0425
1-00535-7501,295-R1,2,2,273,1908,290492,11000205.81,37.8675,51334293.78,176.715
1-00540-7501,567-R1,2,2,18,1900,15744,484175.232,30.753,2005352.64,127.3725
1-00542-7501,484-R1,2,2,24,1928,17842,546647.6565,30.63825,2272580.145,127.3725
1-00542-7502,644-R1,2,2,40,1900,22777,723984.0278,31.78575,3005709.863,131.9625
1-00544-7501,2004-R1,2,1,25,1920,88353,3903325.099,44.17875,19161777.76,216.8775
1-00544-7502,1496-R1,2,2,39,2004,116535,5616404.325,48.195,27547125.98,236.385
1-00545-7503,1341-R1,2,1,50,1930,96566,3102665.58,32.13,12853900.26,133.11
1-00548-7501,797-R1,2,2,390,1965,445151,17878377.04,40.1625,83262155.92,187.0425
1-00552-7501,349-R1,2,1,28,1986,43106,1320692.405,30.63825,5490518.985,127.3725
1-00552-7504,1660-R1,2,1,28,1966,32116,1241949.807,38.67075,5785938.27,180.1575
1-00556-7501,330-R1,2,1,11,1905,28385,918524.4075,32.3595,3810899.138,134.2575
1-00557-7501,39-R1,2,2,65,1900,83089,2545701.554,30.63825,10583253.65,127.3725
1-00558-7501,210-R1,2,1,41,1985,56483,1912020.154,33.85125,8879551.223,157.2075
1-00558-7502,446-R1,2,1,70,1905,90082,2987366.846,33.16275,13851458.73,153.765
1-00558-7503,684-R1,2,1,44,1988,57042,1891669.586,33.16275,7854683.4,137.7
1-00559-7501,1742-R1,2,1,84,2006,100500,5074245,50.49,24909930,247.86
1-00560-7501,306-R1,2,2,145,1955,136098,4201039.04,30.86775,17491314.96,128.52
1-00560-7502,304-R1,2,2,150,1959,160209,5294587.032,33.048,21876939.47,136.5525
1-00560-7503,303-R1,2,2,213,1954,140370,4332906.068,30.86775,17879277.83,127.3725
1-00561-7501,787-R1,2,2,229,1955,209785,6740392.05,32.13,27924481.35,133.11
1-00563-7501,298-R1,2,1,44,1985,43542,1498933.35,34.425,6995022.3,160.65
1-00567-7501,1177-R1,2,1,89,1921,81875,3523183.594,43.03125,16441523.44,200.8125
1-00569-7501,154-R1,2,1,27,1907,66739,2006474.666,30.0645,8347547.273,125.0775
1-00569-7502,205-R1,2,1,12,1908,28097,844722.2565,30.0645,3514302.518,125.0775
1-00569-7503,248-R1,2,1,37,1910,52493,1716717.949,32.70375,7107814.665,135.405
1-00569-7504,1028-R1,2,1,115,1903,60860,2025268.65,33.2775,9427974.75,154.9125
1-00571-7501,27-R1,2,2,39,1928,42384,1308298.716,30.86775,5398556.04,127.3725
1-00571-7505,1694-R1,2,1,20,2006,36330,2001056.4,55.08,9838527.3,270.81
1-00572-7501,747-R1,2,2,23,1952,13256,422873.028,31.9005,1749294.9,131.9625
1-00572-7502,1256-R1,2,0,18,1900,14398,512172.855,35.5725,2379125.52,165.24
1-00573-7502,89-R1,2,2,119,1959,94250,2887655.063,30.63825,11896706.25,126.225
1-00575-7501,515-R1,2,2,15,1900,9380,290615.85,30.9825,1205517.6,128.52
1-00575-7502,1895-R1,2,1,17,1912,34118,978760.125,28.6875,4032491.715,118.1925
1-00576-7501,3-R1,2,1,70,1966,82017,2682263.464,32.70375,11105511.89,135.405
1-00576-7502,421-R1,2,1,105,1931,112050,3754459.35,33.507,17486523,156.06
1-00576-7503,886-R1,2,2,30,1910,34168,980194.5,28.6875,4077609.12,119.34
1-00577-7502,1180-R1,2,1,77,1906,201330,8247634.448,40.96575,38350345.05,190.485
1-00528-7501,426-R1,2,1,32,1986,35225,1253041.313,35.5725,5820579,165.24
1-00528-7502,495-R1,2,1,12,1986,15990,550455.75,34.425,2550444.975,159.5025
1-00584-7501,743-R1,2,2,169,1925,100633,2886909.188,28.6875,11894065.85,118.1925
1-00587-7501,293-R1,2,0,30,1929,19320,560893.41,29.03175,2327818.5,120.4875
1-00589-7501,48-R1,2,1,43,1929,66282,2213305.115,33.39225,10343968.92,156.06
1-00590-7502,608-R1,2,2,86,1930,89510,2691073.395,30.0645,11195687.03,125.0775
1-00592-7501,562-R1,2,1,45,1900,21494,670870.728,31.212,2787073.245,129.6675
1-00593-7501,663-R1,2,2,30,1910,21738,673497.585,30.9825,2793767.76,128.52
1-00593-7502,1678-R1,2,1,18,1915,44820,1645790.4,36.72,7663211.55,170.9775
1-00601-7501,542-R1,2,1,184,1920,212232,8109756.126,38.21175,37504577.88,176.715
1-00602-7501,1368-R1,2,1,142,2002,310000,16114342.5,51.98175,78970950,254.745
1-00604-7501,79-R1,2,1,83,1920,88227,3108082.813,35.22825,14477389,164.0925
1-00608-7501,487-R1,2,1,214,1961,165160,6822759.6,41.31,31839544.8,192.78
1-00609-7502,965-R1,2,1,19,1912,58507,1879829.91,32.13,7787866.77,133.11
1-00610-7501,366-R1,2,1,113,1931,120723,4252860.025,35.22825,19809738.88,164.0925
1-00612-7501,530-R1,2,1,21,1987,18780,838296.945,44.63775,4116059.55,219.1725
1-00612-7502,626-R1,2,2,30,1910,19715,728459.3925,36.9495,3393444.375,172.125
1-00612-7503,698-R1,2,2,25,1905,13997,515575.9958,36.83475,2409233.625,172.125
1-00612-7504,850-R1,2,1,122,1964,92616,3209561.172,34.6545,14878760.4,160.65
1-00616-7501,445-R1,2,2,241,1931,209011,6883411.516,32.93325,28540974.58,136.5525
1-00618-7501,447-R1,2,1,132,1987,101634,4699988.105,46.24425,23091752.97,227.205
1-00618-7504,2051-R1,2,1,30,2008,62138,2602572.458,41.88375,12192873.71,196.2225
1-00619-7502,746-R1,2,2,29,1910,13177,517124.7765,39.2445,2404176.593,182.4525
1-00620-7501,1087-R1,2,1,22,1998,41506,2295676.107,55.3095,11287868,271.9575
1-00620-7502,1459-R1,2,0,40,1893,22157,854285.292,38.556,3991749.728,180.1575
1-00621-7503,1688-R1,2,0,21,1914,13648,602951.58,44.17875,2959944.12,216.8775
1-00623-7501,776-R1,2,2,60,1920,32638,1307078.465,40.04775,6104693.115,187.0425
1-00624-7502,106-R1,2,1,15,1983,27448,1067734.062,38.90025,4976459.64,181.305
1-00624-7503,439-R1,2,1,128,1910,138934,4766860.274,34.31025,22160320.34,159.5025
1-00624-7504,640-R1,2,2,87,1939,75154,3095987.819,41.19525,14488188.12,192.78
1-00625-7501,363-R1,2,1,181,1930,159268,4879692.801,30.63825,20286363.33,127.3725
1-00629-7501,469-R1,2,1,21,1907,30312,1318276.458,43.49025,6156594.54,203.1075
1-00629-7502,544-R1,2,1,49,1962,32863,1180332.155,35.91675,5505702.705,167.535
1-00629-7503,1057-R1,2,1,47,1920,123881,5970444.795,48.195,29283610.19,236.385
1-00629-7504,1120-R1,2,1,11,1920,23425,1182728.25,50.49,5806120.5,247.86
1-00631-7501,18-R1,2,2,20,1910,53943,1776518.305,32.93325,7366051.508,136.5525
1-00631-7502,376-R1,2,1,77,1987,73176,3098473.074,42.34275,14442747.12,197.37
1-00635-7501,158-R1,2,1,24,1930,42407,1834558.625,43.26075,8564517.72,201.96
1-00636-7501,1011-R1,2,1,24,1997,38871,2123172.891,54.621,10437446.57,268.515
1-00636-7502,1542-R1,2,1,20,1900,11852,516806.46,43.605,2407230.09,203.1075
1-00637-7501,301-R1,2,1,32,1913,48708,2090376.882,42.9165,9725282.82,199.665
1-00637-7502,473-R1,2,1,81,1987,60200,2832259.5,47.0475,13884979.5,230.6475
1-00637-7504,1229-R1,2,1,23,2001,88141,4875034.64,55.3095,23970606.01,271.9575
1-00637-7505,1453-R1,2,1,29,2004,72225,3787533.169,52.44075,18564714,257.04
1-00638-7501,576-R1,2,1,24,1988,21991,951347.1533,43.26075,4441302.36,201.96
1-00638-7502,1211-R1,2,1,18,1999,39213,1835874.234,46.818,8999383.5,229.5
1-00641-7501,329-R1,2,1,27,1910,20546,860543.5275,41.88375,4008010.95,195.075
1-00642-7502,1066-R1,2,1,84,1997,147335,6948650.104,47.16225,34151516.33,231.795
1-00643-7501,314-R1,2,0,12,1910,11270,459097.5375,40.73625,2133833.625,189.3375
1-01599-7501,1359-R1,3,1,129,2003,163480,4750630.712,29.0594,22067445.89,134.9856
1-01599-7502,1735-R1,3,1,248,2006,395140,11482531.32,29.0594,53708614.22,135.923
1-01600-7501,1073-R1,3,2,240,1999,312016,8189546.355,26.2472,33928120.61,108.7384
1-01720-7501,1323-R1,3,1,36,1909,40987,731155.6986,17.838722,2727906.18,66.5554
1-01721-7501,751-R1,3,1,24,1900,27073,468735.9118,17.313778,1751097.884,64.6806
1-01724-7501,1713-R1,3,1,23,2005,32150,703105.7753,21.869542,2923328.77,90.9278
1-01724-7503,1865-R1,3,1,21,1920,24795,281238.2793,11.34254,790256.322,31.8716
1-01727-7501,1578-R1,3,1,77,2005,131237,3604531.819,27.46582,16730932.68,127.4864
1-01729-7501,846-R1,3,1,34,1898,28408,538984.3022,18.972976,2023854.099,71.2424
1-01729-7503,1530-R1,3,0,12,2004,15230,384040.5938,25.21606,1598979.424,104.9888
1-01745-7501,1382-R1,3,2,92,2003,97592,2808520.143,28.77818,13082031.93,134.0482
1-01753-7501,1525-R1,3,1,12,2005,12000,426329.52,35.52746,1991037.6,165.9198
1-01753-7502,1656-R1,3,1,18,2004,15023,533729.0316,35.52746,2492613.155,165.9198
1-01753-7503,1985-R1,3,1,13,2007,24731,843855.3542,34.12136,3917899.859,158.4206
1-01755-7501,1470-R1,3,0,25,2004,40418,1030549.063,25.49728,4281325.152,105.9262
1-01820-7501,592-R1,3,1,35,1910,36637,720870.5646,19.676026,2987886.571,81.5538
1-01820-7502,1520-R1,3,1,17,1900,22039,619780.758,28.122,2892310.204,131.236
1-01820-7503,1768-R1,3,1,85,2006,94012,5904498.87,62.8058,27407449.98,291.5314
1-01823-7501,807-R1,3,1,54,1915,58429,985884.2028,16.8732,3669680.088,62.8058
1-01823-7502,1545-R1,3,1,15,1900,18567,434943.5979,23.425626,1792684.697,96.5522
1-01825-7501,1996-R1,3,1,32,2006,57450,1130926.23,19.6854,4685265.81,81.5538
1-01826-7501,591-R1,3,1,35,1911,48636,912283.6419,18.757374,3419353.98,70.305
1-01826-7502,1662-R1,3,0,24,1900,18540,382346.712,20.6228,1529386.848,82.4912
1-01828-7501,749-R1,3,1,14,1900,18448,294329.5015,15.954548,1089468.778,59.0562
1-01828-7502,1332-R1,3,1,13,1920,23700,400339.1676,16.891948,1510713.84,63.7432
1-01828-7503,1540-R1,3,0,13,1900,6866,193085.652,28.122,798087.3616,116.2376
1-01828-7505,1684-R1,3,0,14,1900,6846,179688.3312,26.2472,744423.0864,108.7384
1-01829-7501,1440-R1,3,1,33,1900,28560,481898.592,16.8732,1793733.648,62.8058
1-01830-7501,1799-R1,3,1,15,2005,20184,756819.264,37.496,3708414.394,183.7304
1-01831-7501,1657-R1,3,0,20,1900,7852,206093.0144,26.2472,853813.9168,108.7384
1-01831-7502,1913-R1,3,1,36,2007,49200,1014641.76,20.6228,4196927.28,85.3034
1-01901-7501,1478-R1,3,2,28,2004,52916,1686517.586,31.8716,7837346.427,148.1092
1-01901-7501,1478-R2,3,2,23,2004,37719,1202164.88,31.8716,5586530.915,148.1092
1-01903-7501,1495-R1,3,1,25,1910,44329,1038434.575,23.425626,4321616.478,97.4896
1-01908-7502,1699-R1,3,1,21,1906,46991,1101234.085,23.435,4581133.794,97.4896
1-01914-7502,1690-R1,3,1,19,2007,29315,934315.954,31.8716,4341821.198,148.1092
1-01917-7501,1926-R1,3,0,11,0,8195,192049.825,23.435,798927.272,97.4896
1-01922-7501,1733-R1,3,1,16,1910,15210,285014.5015,18.738626,1069339.05,70.305
1-01923-7501,1894-R1,3,1,47,1892,87400,1474717.68,16.8732,5489226.92,62.8058
1-01924-7501,1348-R1,3,1,64,2003,63252,1600895.47,25.3098,6640751.578,104.9888
1-01924-7502,1488-R1,3,1,74,2003,59844,1907324.03,31.8716,8863446.965,148.1092
1-01924-7502,1488-R2,3,1,22,2004,19500,621496.2,31.8716,2888129.4,148.1092
1-01930-7501,1712-R1,3,1,11,1910,25230,591265.05,23.435,2436012.006,96.5522
1-01942-7501,887-R1,3,0,32,1994,35082,756374.9364,21.5602,3124157.346,89.053
1-01942-7502,1284-R1,3,1,36,1933,38386,720020.5584,18.757374,2698727.73,70.305
1-01943-7501,793-R1,3,1,41,1900,45436,937443.4579,20.632174,3875845.282,85.3034
1-01943-7502,1373-R1,3,1,49,1901,66936,1318289.392,19.694774,5458885.157,81.5538
1-01944-7502,1190-R1,3,0,49,1931,63586,1132504.812,17.8106,4231991.664,66.5554
1-01945-7502,1391-R1,3,1,48,2003,108510,3407528.679,31.4029,15867894.74,146.2344
1-01945-7504,1762-R1,3,1,93,2006,108572,3053261.784,28.122,14248554.99,131.236
1-01946-7501,1681-R1,3,1,54,2006,67413,1895788.386,28.122,8847012.468,131.236
1-01947-7501,1289-R1,3,2,74,2003,93600,2632219.2,28.122,12283689.6,131.236
1-01950-7501,1852-R1,3,1,52,2006,70212,1382151.305,19.6854,5726055.406,81.5538
1-01955-7501,1340-R1,3,0,15,1910,23765,445546.22,18.748,1670798.325,70.305
1-01959-7501,1423-R1,3,1,170,2003,240000,5624400,23.435,23397504,97.4896
1-01960-7502,899-R1,3,0,28,1994,41964,1337459.822,31.8716,6215254.469,148.1092
1-02007-7501,1922-R1,3,1,32,1910,23822,669922.284,28.122,3126303.992,131.236
1-02023-7503,874-R1,3,0,28,1993,30976,987254.6816,31.8716,4616867.482,149.0466
1-02025-7501,1737-R1,3,0,29,1926,30584,659397.1568,21.5602,2723596.952,89.053
1-02034-7501,1365-R1,3,2,104,1920,143389,3763559.761,26.2472,15591890.44,108.7384
1-02041-7502,900-R1,3,0,28,1994,36188,1153369.461,31.8716,5359775.73,148.1092
1-02041-7503,1716-R1,3,1,14,1894,18306,600601.554,32.809,2797087.237,152.7962
1-02041-7504,1919-R1,3,1,20,2006,28879,947491.111,32.809,4412601.46,152.7962
1-02042-7502,974-R1,3,0,47,1896,76584,1651166.357,21.5602,6820034.952,89.053
1-02044-7501,1422-R1,3,2,128,2003,212047,5963185.734,28.122,27828200.09,131.236
1-02044-7502,1511-R1,3,1,26,1920,35390,663823.4659,18.757374,2488093.95,70.305
1-02045-7501,1640-R1,3,1,180,2005,204835,5760369.87,28.122,26881726.06,131.236
1-02045-7502,1717-R1,3,2,135,2005,164085,4614398.37,28.122,21533859.06,131.236
1-02045-7503,2049-R1,3,2,134,2007,161156,0,0,8157652.258,50.6196
1-02051-7501,1327-R1,3,2,77,2001,91858,2583230.676,28.122,11968968.8,130.2986
1-01623-7501,1322-R1,3,2,152,2003,109646,3083464.812,28.122,14389502.46,131.236
1-01627-7501,1628-R1,3,1,13,2004,6342,224720.6522,35.43372,1052263.372,165.9198
1-01630-7501,441-R1,3,0,17,1920,9590,187524.4328,19.554164,701193.948,73.1172
1-01630-7501,441-R2,3,0,17,1920,9590,187524.4328,19.554164,701193.948,73.1172
1-01630-7502,1801-R1,3,1,11,2006,12184,454567.0077,37.30852,2227149.912,182.793
1-01632-7501,666-R1,3,0,12,1910,7690,154696.6848,20.116604,641565.934,83.4286
1-01638-7501,1932-R1,3,1,68,2006,65699,1792159.66,27.27834,8375728.994,127.4864
1-01646-7502,1512-R2,3,2,215,2005,184939,7783945.655,42.08926,38139600.09,206.228
1-01661-7501,1403-R1,3,1,22,2003,25721,843880.289,32.809,3930071.06,152.7962
1-01667-7501,1829-R1,3,1,12,1910,12222,347144.1548,28.40322,1615423.295,132.1734
