MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt
1-00764-7501,656-R1,217 WEST 14 STREET,CHELSEA,0,22,1930,16478,457264,27.7,2189996,133
1-00764-7502,794-R1,221 WEST 14 STREET,CHELSEA,0,34,1930,19979,554417,27.7,2659996,133
1-00389-7501,545-R1,97 AVENUE B,EAST VILLAGE,2,30,1901,20940,502560,24,2120000,101
1-00390-7502,1125-R1,338 EAST 8 STREET,EAST VILLAGE,2,78,2001,65832,2523720,38.3,12000000,182
1-00399-7501,602-R1,50 AVENUE A,EAST VILLAGE,2,17,1920,21314,490222,23,2070000,97
1-00432-7502,840-R1,89 AVENUE A,EAST VILLAGE,2,26,1900,21586,505000,23.39,2130000,99
1-00446-7501,695-R1,125 EAST 4 STREET,EAST VILLAGE,2,28,2004,17793,640000,36,3040000,171
1-00446-7502,705-R1,99 EAST 4 STREET,EAST VILLAGE,2,66,1920,67764,2030000,30,9300000,137
1-00447-7501,777-R1,83 1 AVENUE,EAST VILLAGE,2,20,1900,11574,340000,29.4,1560000,135
1-00462-7501,901-R1,24 EAST 7 STREET,EAST VILLAGE,2,34,1991,36693,1290000,35.2,6130000,167
1-00466-7501,1804-R1,47 3 AVENUE,EAST VILLAGE,2,28,2006,30662,1475000,48.1,7350000,240
1-00468-7501,203-R1,193 2 AVENUE,EAST VILLAGE,2,16,1900,21607,570000,26.4,2610000,121
1-00469-7502,493-R1,105 3 AVENUE,EAST VILLAGE,2,155,1964,113930,3700000,32.5,17700000,155
1-00375-7501,1213-R1,71 AVENUE D,EAST VILLAGE,1,25,2001,27798,705791,25.4,3059995,110
1-00384-7503,1720-R1,310 EAST HOUSTON STREET,EAST VILLAGE,1,23,2005,34734,1050700,30.2,5030003,145
1-00385-7501,1618-R1,254 EAST 2 STREET,EAST VILLAGE,1,47,2005,36472,1677712,46,7970000,219
1-00390-7501,1183-R1,217 EAST 7 STREET,EAST VILLAGE,1,16,2000,15704,526084,33.5,2519999,160
1-00392-7501,341-R1,143 AVENUE B,EAST VILLAGE,1,83,1928,78982,2014040,25.5,8750003,111
1-00397-7501,489-R1,175 EAST 2 STREET,EAST VILLAGE,1,21,1920,20038,508564,25.4,2209999,110
1-00397-7502,628-R1,240 EAST HOUSTON STREET,EAST VILLAGE,1,16,1920,19854,476496,24,2069997,104
1-00405-7504,1447-R1,525 EAST 11 STREET,EAST VILLAGE,1,26,1965,29906,1046710,35,5010000,168
1-00432-7501,714-R1,85 AVENUE A,EAST VILLAGE,1,32,1991,23605,895000,37.9,4490003,190
1-00434-7501,642-R1,103 AVENUE A,EAST VILLAGE,1,20,1920,11229,310000,27.6,1480000,132
1-00438-7502,1207-R1,416 EAST 11 STREET,EAST VILLAGE,1,13,2001,15742,580000,36.8,2909998,185
1-00440-7502,1264-R1,407 EAST 12 STREET,EAST VILLAGE,1,27,1900,30363,915000,30.1,4380000,144
1-00441-7501,292-R1,224 1 AVENUE,EAST VILLAGE,1,40,1911,25528,815000,31.9,3899996,153
1-00441-7503,1766-R1,421 EAST 13 STREET,EAST VILLAGE,1,96,2006,93382,4100000,43.9,20599999,221
