MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt,Coordinate
1-01228-7501,508-R1,2250 BROADWAY,UPPER WEST SIDE,1,123,1987,132774,5576508,42,27399989,206,40.7848635 -73.9789034
1-01232-7502,1230-R1,500 WEST END AVENUE,UPPER WEST SIDE,1,89,1915,141562,4388422,31,20399994,144,40.7876876 -73.9785026
1-01233-7501,296-R1,530 WEST END AVENUE,UPPER WEST SIDE,1,45,1912,79554,2068404,26,8570001,108,40.788569 -73.9778635
1-01237-7501,285-R1,2421 BROADWAY,UPPER WEST SIDE,1,72,1920,147994,4143832,28,17200013,116,40.7904348 -73.9752022
1-01239-7501,732-R1,640 WEST END AVENUE,UPPER WEST SIDE,1,37,1913,59951,1678628,28,6950002,116,40.7920305 -73.9751781
1-01239-7502,1089-R1,650 WEST END AVENUE,UPPER WEST SIDE,1,47,1916,92402,2587256,28,10700005,116,40.7924426 -73.9750337
1-01250-7504,1747-R1,595 WEST END AVENUE,UPPER WEST SIDE,1,54,1923,55190,1490130,27,6170001,112,40.7906965 -73.9768155
1-01251-7501,1129-R1,190 RIVERSIDE DRIVE,UPPER WEST SIDE,1,51,1911,78380,2508160,32,11700002,149,40.7927621 -73.9768068
1-01253-7502,647-R1,222 RIVERSIDE DRIVE,UPPER WEST SIDE,1,104,1989,167752,7045584,42,34600000,206,40.7949071 -73.9759244467
1-01253-7503,1608-R1,230 RIVERSIDE DRIVE,UPPER WEST SIDE,1,261,1931,208241,5414266,26,22399940,108,40.7955671 -73.9754214
1-01223-7501,357-R1,661 AMSTERDAM AVENUE,UPPER WEST SIDE,2,93,1930,100964,2826992,28,11700000,116,40.7916595 -73.9718901
1-01229-7503,2016-R1,442 AMSTERDAM AVENUE,UPPER WEST SIDE,2,12,1920,8594,283602,33,1320000,154,40.784766 -73.977552667
1-01230-7501,590-R1,2280 BROADWAY,UPPER WEST SIDE,2,97,1923,155319,4348932,28,18000000,116,40.7667393 -73.9817727
1-01234-7501,600-R1,2373 BROADWAY,UPPER WEST SIDE,2,354,1987,412000,16480000,40,80900000,196,40.7885846 -73.9766713
1-01869-7501,516-R1,2576 BROADWAY,UPPER WEST SIDE,1,56,1901,80242,2300000,28.7,9530000,119,40.7667393 -73.9817727
1-01869-7502,708-R1,780 WEST END AVENUE,UPPER WEST SIDE,1,61,1914,97950,2375000,24.25,9840000,100,40.7963278 -73.972008
1-01871-7502,1786-R1,2628 BROADWAY,UPPER WEST SIDE,1,64,2005,132905,5200000,39.1,24200006,182,40.796797 -73.9697116
1-01878-7501,1406-R1,2770 BROADWAY,UPPER WEST SIDE,1,64,2004,133872,4400000,32.9,20500003,153,40.8019529 -73.9675069
1-01881-7501,188-R1,504 CATHEDRAL PARKWAY,UPPER WEST SIDE,1,148,1920,107102,3000000,28,14000037,131,40.804723 -73.9680126
1-01881-7502,291-R1,520 CATHEDRAL PARKWAY,UPPER WEST SIDE,1,36,1911,59769,1750000,29.3,8149993,136,40.80345685 -73.9655626259
1-01881-7503,1410-R1,514 CATHEDRAL PARKWAY,UPPER WEST SIDE,1,49,1900,55578,1625000,29.2,7569997,136,40.8033285 -73.9653347818
1-01882-7501,312-R1,527 CATHEDRAL PARKWAY,UPPER WEST SIDE,1,56,1920,70493,2000000,28.4,8280001,117,40.80379995 -73.9649787681
1-01882-7502,1588-R1,545 CATHEDRAL PARKWAY,UPPER WEST SIDE,1,55,2005,79805,2900000,36.3,13500006,169,40.8042388 -73.96614995
1-01888-7503,1773-R1,817 WEST END AVENUE,UPPER WEST SIDE,1,76,1920,116255,1750000,15.05,5920000,51,40.7976948 -73.9716509
1-01889-7501,872-R1,825 WEST END AVENUE,UPPER WEST SIDE,1,106,1928,195971,5000000,25.5,20700001,106,40.7979717 -73.9714444
1-01891-7502,2054-R1,905 WEST END AVENUE,UPPER WEST SIDE,1,53,1920,132377,2439708,18.43,9120000,69,40.8005849 -73.9695474
1-01893-7502,1917-R1,610 CATHEDRAL PARKWAY,UPPER WEST SIDE,1,67,1922,103749,1750000,16.87,6540000,63,40.80426595 -73.9675089442
1-01870-7502,438-R1,2600 BROADWAY,UPPER WEST SIDE,2,79,1911,163616,3300000,20.17,12300000,75,40.796 -73.9704728
1-01874-7501,362-R1,2681 BROADWAY,UPPER WEST SIDE,2,345,1927,221974,5670000,25.5,23500000,106,40.7987472 -73.969176
1-01883-7501,532-R1,2860 BROADWAY,UPPER WEST SIDE,2,135,1930,147648,3650000,24.72,15100000,102,40.7667393 -73.9817727
1-01894-7501,497-R1,2849 BROADWAY,UPPER WEST SIDE,2,151,1926,192853,4800000,24.89,19900000,103,40.7667393 -73.9817727
1-01896-7501,202-R1,2931 BROADWAY,UPPER WEST SIDE,2,46,1911,63300,1460000,23.06,6050000,96,40.7667393 -73.9817727
