MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt,Coordinate
1-00542-7501,484-R1,205 BLEECKER STREET,GREENWICH VILLAGE,2,24,1928,17842,477273,26.7,1980000,111,40.7299196562 -74.0023358438
1-00542-7502,644-R1,189 BLEECKER STREET,GREENWICH VILLAGE,2,40,1900,22777,630000,27.7,2610000,115,40.6973412069 -73.9191811724
1-00544-7502,1496-R1,443 LAFAYETTE STREET,GREENWICH VILLAGE,2,39,2004,116535,4894470,42,24000000,206,42.738471 -73.6937049
1-00557-7501,39-R1,806 BROADWAY,GREENWICH VILLAGE,2,65,1900,83089,2222630,26.7,9210000,111,40.7667393 -73.9817727
1-00560-7501,306-R1,21 UNIVERSITY PLACE,GREENWICH VILLAGE,2,145,1955,136098,3661036,26.9,15200000,112,42.676821772 -73.8217868645
1-00587-7501,293-R1,76 BEDFORD STREET,GREENWICH VILLAGE,0,30,1929,19320,487830,25.3,2020003,105,40.731674 -74.004896
1-00621-7503,1688-R1,382 BLEECKER STREET,GREENWICH VILLAGE,0,21,1914,13648,525000,38.5,2580000,189,40.70199555 -73.9141406771
1-00643-7501,314-R1,77 HORATIO STREET,GREENWICH VILLAGE,0,12,1910,11270,400000,35.5,1860003,165,40.7388369 -74.00731
1-00528-7501,426-R1,63 DOWNING STREET,GREENWICH VILLAGE,1,32,1986,35225,1091975,31,5090005,144,40.6838297143 -73.9608128286
1-00528-7502,495-R1,3 BEDFORD STREET,GREENWICH VILLAGE,1,12,1986,15990,479700,30,2230001,139,40.72887365 -74.0035613721
1-00589-7501,48-R1,2 CORNELIA STREET,GREENWICH VILLAGE,1,43,1929,66282,1932120,29.1,8999997,136,40.7312474 -74.0024155
1-00592-7501,562-R1,1 SHERIDAN SQUARE,GREENWICH VILLAGE,1,45,1900,21494,585711,27.2,2429998,113,40.7328395 -74.001917
1-00593-7502,1678-R1,147 WAVERLY PLACE,GREENWICH VILLAGE,1,18,1915,44820,1434240,32,6680000,149,43.1504242987 -77.6231090909
1-00601-7501,542-R1,421 HUDSON STREET,GREENWICH VILLAGE,1,184,1920,212232,7056714,33.3,32599994,154,40.7298709 -74.0070964
1-00604-7501,79-R1,162 CHRISTOPHER STREET,GREENWICH VILLAGE,1,83,1920,88227,2712980,30.7,12600000,143,40.7323909 -74.0093552
1-00610-7501,366-R1,45 CHRISTOPHER STREET,GREENWICH VILLAGE,1,113,1931,120723,3710000,30.7,17299999,143,40.73391665 -74.0018208213
1-00612-7501,530-R1,22 PERRY STREET,GREENWICH VILLAGE,1,21,1987,18780,730000,38.9,3580001,191,42.1032740417 -75.927495375
1-00612-7504,850-R1,15 CHARLES STREET,GREENWICH VILLAGE,1,122,1964,92616,2800000,30.2,12999998,140,40.7352625 -74.0013459
1-00618-7504,2051-R1,122 GREENWICH AVENUE,GREENWICH VILLAGE,1,30,2008,62138,2270000,36.5,10599931,171,40.7392273 -74.0024985
1-00620-7501,1087-R1,534 HUDSON STREET,GREENWICH VILLAGE,1,22,1998,41506,2000000,48.2,9819999,237,40.7343034 -74.0060245
1-00624-7502,106-R1,69 BANK STREET,GREENWICH VILLAGE,1,15,1983,27448,930000,33.9,4330001,158,42.7232571379 -73.6758425862
1-00629-7504,1120-R1,77 8 AVENUE,GREENWICH VILLAGE,1,11,1920,23425,1030000,44,5059997,216,40.614211 -73.8999599
1-00631-7502,376-R1,677 WASHINGTON STREET,GREENWICH VILLAGE,1,77,1987,73176,2700000,36.9,12600001,172,41.7086679 -73.9290824
1-00635-7501,158-R1,33 BETHUNE STREET,GREENWICH VILLAGE,1,24,1930,42407,1600000,37.7,7449999,176,40.7368768333 -74.0075355
1-00636-7502,1542-R1,3 WEEHAWKEN STREET,GREENWICH VILLAGE,1,20,1900,11852,450000,38,2100005,177,40.7330744 -74.0096312982
1-00637-7501,301-R1,155 PERRY STREET,GREENWICH VILLAGE,1,32,1913,48708,1820000,37.4,8479995,174,40.73492315 -74.0089060062
1-00637-7504,1229-R1,176 PERRY STREET,GREENWICH VILLAGE,1,23,2001,88141,4250000,48.2,20900006,237,42.4658929211 -78.9310184737
1-00637-7505,1453-R1,165 CHARLES STREET,GREENWICH VILLAGE,1,29,2004,72225,3300000,45.7,16199997,224,40.8472953618 -72.9252257889
1-00638-7501,576-R1,164 BANK STREET,GREENWICH VILLAGE,1,24,1988,21991,830000,37.7,3870002,176,40.73585955 -74.0094033762
1-00641-7501,329-R1,88 JANE STREET,GREENWICH VILLAGE,1,27,1910,20546,750000,36.5,3490002,170,40.73801765 -74.0075501757
1-00642-7502,1066-R1,99 JANE STREET,GREENWICH VILLAGE,1,84,1997,147335,6050000,41.1,29699997,202,40.7382245 -74.0086873
1-00584-7501,743-R1,442 HUDSON STREET,GREENWICH VILLAGE,2,169,1925,100633,2515825,25,10400000,103,43.5968950618 -73.9645763463
1-00590-7502,608-R1,9 BARROW STREET,GREENWICH VILLAGE,2,86,1930,89510,2349637,26.2,9730000,109,40.7326885 -74.0023434
1-00593-7501,663-R1,10 CHRISTOPHER STREET,GREENWICH VILLAGE,2,30,1910,21738,586926,27,2430000,112,40.7339284 -74.0001773
1-00612-7502,626-R1,25 CHARLES STREET,GREENWICH VILLAGE,2,30,1910,19715,635000,32.2,2960000,150,40.7351076 -74.0022349
1-00616-7501,445-R1,2 HORATIO STREET,GREENWICH VILLAGE,2,241,1931,209011,6000000,28.7,24900000,119,40.7386733 -74.0027656
1-00624-7504,640-R1,419 BLEECKER STREET,GREENWICH VILLAGE,2,87,1939,75154,2700000,35.9,12600000,168,40.736508 -74.005173
1-00631-7501,18-R1,712 GREENWICH STREET,GREENWICH VILLAGE,2,20,1910,53943,1550000,28.7,6420000,119,40.714909 -74.0113489
1-01955-7501,1340-R1,368 ST NICHOLAS AVENUE,HARLEM,0,15,1910,23765,475300,20,1779998,75,40.8127258 -73.9503794124
1-01599-7501,1359-R1,1400 5 AVENUE,HARLEM,1,129,2003,163480,5068000,31,23599994,144,40.614211 -73.8999599
1-01720-7501,1323-R1,1 MT MORRIS PARK WEST,HARLEM,1,36,1909,40987,780000,19.03,2919996,71,40.8040651 -73.9462682
1-01724-7503,1865-R1,2056 5 AVENUE,HARLEM,1,21,1920,24795,300000,12.1,843002,34,40.614211 -73.8999599
1-01727-7501,1578-R1,380 LENOX AVENUE,HARLEM,1,77,2005,131237,3850000,29.3,17899996,136,43.091017 -75.661004
1-01753-7503,1985-R1,2077 5 AVENUE,HARLEM,1,13,2007,24731,900000,36.4,4189999,169,43.5057703 -73.7890781
1-01820-7501,592-R1,137 CENTRAL PARK NORTH,HARLEM,1,35,1910,36637,769000,20.99,3190000,87,40.79908805 -73.9538926055
1-01820-7502,1520-R1,125 CENTRAL PARK NORTH,HARLEM,1,17,1900,22039,661000,30,3079999,140,40.7982705 -73.9525303
1-01820-7503,1768-R1,111 CENTRAL PARK NORTH,HARLEM,1,85,2006,94012,6262000,67,29200014,311,40.7986055 -73.9527915
1-01823-7501,807-R1,66 ST NICHOLAS' AVENUE,HARLEM,1,54,1915,58429,1052000,18,3930000,67,40.8011778 -73.9523218
