MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt
1-00746-7507,2146-R1,350 WEST 23 STREET,CHELSEA,1,14,1910,32450,1398920,43.11,7906999,243.67
1-00751-7501,1328-R1,360 WEST 28 STREET,CHELSEA,1,17,2002,15480,617652,39.9,3618000,233.72
1-00764-7501,0656-R1,217 WEST 14 STREET,CHELSEA,0,22,1930,16478,588429,35.71,2921999,177.33
1-00764-7502,0794-R1,221 WEST 14 STREET,CHELSEA,0,34,1930,19979,713450,35.71,3543001,177.34
1-00766-7501,0276-R1,252 WEST 17 STREET,CHELSEA,1,16,1985,19718,758946,38.49,4485999,227.51
1-00766-7502,0629-R1,124 8 AVENUE,CHELSEA,1,156,1989,141673,5535164,39.07,25409983,179.36
1-00766-7503,1176-R1,206 WEST 17 STREET,CHELSEA,1,11,1910,62304,2446678,39.27,14422000,231.48
1-00766-7504,1899-R1,246 WEST 17 STREET,CHELSEA,1,31,1926,68206,2610926,38.28,13900001,203.79
1-00767-7502,0943-R1,257 WEST 17 STREET,CHELSEA,1,32,1907,83519,3239702,38.79,10274000,123.01
1-00767-7503,2000-R1,201 WEST 17 STREET,CHELSEA,1,37,2000,63723,2689111,42.2,14147000,222.01
1-00767-7504,1305-R1,224 WEST 18 STREET,CHELSEA,1,31,2002,52645,2482738,47.16,11990012,227.75
1-00768-7501,0249-R1,210 WEST 19 STREET,CHELSEA,1,69,1939,51717,1990587,38.49,10844996,209.7
1-00768-7502,0479-R1,140 7 AVENUE,CHELSEA,1,109,1962,99750,3839378,38.49,15289997,153.28
1-00768-7504,1442-R1,270 WEST 19 STREET,CHELSEA,1,14,2004,23052,877359,38.06,5064999,219.72
1-00769-7503,0502-R1,160 7 AVENUE,CHELSEA,2,197,1980,117094,4614675,39.41,27000000,230.58
1-00769-7505,1239-R1,251 WEST 19 STREET,CHELSEA,1,43,1910,82151,3206354,39.03,17850002,217.28
1-00769-7506,1269-R1,217 WEST 19 STREET,CHELSEA,1,12,2002,33378,1271368,38.09,7178998,215.08
1-00769-7508,1910-R1,241 WEST 19 STREET,CHELSEA,1,19,2006,27784,1025230,36.9,5363000,193.02
1-00773-7501,1427-R1,200 WEST 24 STREET,CHELSEA,1,20,2004,36967,1462045,39.55,7775001,210.32
1-00773-7502,1476-R1,213 WEST 23 STREET,CHELSEA,1,12,1900,44800,1651328,36.86,7889998,176.12
1-00774-7501,1140-R1,252 7 AVENUE,CHELSEA,1,351,1910,552679,24666064,44.63,145023999,262.4
1-00792-7503,0467-R1,130 WEST 17 STREET,CHELSEA,2,14,1906,31650,934625,29.53,4015000,126.86
1-00792-7504,0710-R1,101 7 AVENUE,CHELSEA,2,155,1930,138320,4890995,35.36,23500000,169.9
1-00793-7501,0069-R1,117 WEST 17 STREET,CHELSEA,1,35,1900,61572,1930282,31.35,9494998,154.21
1-00793-7502,0432-R1,120 WEST 18 STREET,CHELSEA,1,9,1907,19713,757571,38.43,4122000,209.1
1-00793-7505,1234-R1,151 WEST 17 STREET,CHELSEA,1,51,2001,111514,4214114,37.79,25494003,228.62
1-00793-7506,1314-R1,144 WEST 18 STREET,CHELSEA,1,18,1910,54708,2179020,39.83,11686998,213.63
1-00793-7508,1921-R1,127 7 AVENUE,CHELSEA,1,38,2008,70840,3500000,49.41,19178001,270.72
1-00794-7501,1596-R1,130 WEST 19 STREET,CHELSEA,1,64,2005,118000,4960000,42.03,25460999,215.77
1-00794-7502,1638-R1,163 WEST 18 STREET,CHELSEA,1,26,2006,45457,1898739,41.77,11309001,248.78
1-00795-7501,1552-R1,121 WEST 19 STREET,CHELSEA,1,67,1903,120050,5800816,48.32,31818001,265.04
1-00796-7501,0393-R1,179 7 AVENUE,CHELSEA,1,45,1987,31800,1126992,35.44,5871998,184.65
1-00796-7502,0781-R1,121 WEST 20 STREET,CHELSEA,1,28,1875,41294,1644740,39.83,8821002,213.61
1-00796-7503,1116-R1,129 WEST 20 STREET,CHELSEA,1,15,1905,32085,1277946,39.83,6854000,213.62
1-00796-7504,1437-R1,655 6 AVENUE,CHELSEA,1,49,1900,84890,4101885,48.32,20680008,243.61
1-00797-7501,1839-R1,125 WEST 21 STREET,CHELSEA,1,52,2006,77419,3500000,45.21,18963992,244.95
1-00797-7502,1122-R1,126 WEST 22 STREET,CHELSEA,1,22,1911,58449,2267237,38.79,12487002,213.64
1-00797-7503,1172-R1,132 WEST 22 STREET,CHELSEA,1,6,1913,17234,654375,37.97,3258000,189.04
1-00797-7505,1372-R1,146 WEST 22 STREET,CHELSEA,1,13,2003,37035,1366592,36.9,6661653,179.87
1-00797-7507,1963-R1,140 WEST 22 STREET,CHELSEA,1,52,1911,68395,2890373,42.26,15751002,230.29
1-00798-7502,0177-R1,215 7 AVENUE,CHELSEA,1,120,1973,80000,3648800,45.61,22750980,284.39
1-00798-7503,0729-R1,140 WEST 23 STREET,CHELSEA,1,20,1950,28124,938498,33.37,5381999,191.37
1-00798-7505,1845-R1,125 WEST 22 STREET,CHELSEA,1,33,2006,66937,2795958,41.77,16653002,248.79
1-00798-7506,1869-R1,133 WEST 22 STREET,CHELSEA,1,99,2008,112888,4266038,37.79,25807998,228.62
1-00799-7501,1770-R1,124 WEST 24 STREET,CHELSEA,1,20,1920,23621,1121289,47.47,6223001,263.45
1-00800-7501,0970-R1,245 7 AVENUE,CHELSEA,1,33,1911,75929,3472233,45.73,18736999,246.77
1-00800-7502,1221-R1,108 WEST 25 STREET,CHELSEA,1,10,1913,27100,1254188,46.28,6639000,244.98
1-00800-7504,1851-R1,101 WEST 24 STREET,CHELSEA,1,203,2006,334205,15674215,46.9,84787998,253.7
1-00801-7502,1195-R1,150 WEST 26 STREET,CHELSEA,1,25,1922,48276,1922833,39.83,10313002,213.63
1-00802-7501,0848-R1,144 WEST 27 STREET,CHELSEA,1,24,1911,70181,3121651,44.48,14777002,210.56
1-00802-7502,1126-R1,291 7 AVENUE,CHELSEA,1,8,1905,28339,1128742,39.83,5672000,200.15
1-00803-7501,0766-R1,315 7 AVENUE,CHELSEA,1,93,1926,94649,4364265,46.11,24090997,254.53
1-00803-7503,1527-R1,145 WEST 27 STREET,CHELSEA,1,10,1902,16720,714278,42.72,3898001,233.13
1-00375-7501,1213-R1,71 AVENUE D,EAST VILLAGE,1,25,2001,27798,792799,28.52,3212028,115.55
1-00384-7503,1720-R1,310 EAST HOUSTON STREET,EAST VILLAGE,1,23,2005,34734,1202838,34.63,5840002,168.14
1-00384-7505,2176-R1,229 EAST 2 STREET,EAST VILLAGE,1,5,2008,7405,263988,35.65,1501999,202.84
1-00385-7501,1618-R1,254 EAST 2 STREET,EAST VILLAGE,1,47,2005,36472,1454868,39.89,8579000,235.22
1-00386-7501,0548-R1,211 EAST 3 STREET,EAST VILLAGE,0,13,1920,18990,518047,27.28,2244001,118.17
1-00389-7501,0545-R1,97 AVENUE B,EAST VILLAGE,2,30,1901,20940,587576,28.06,2324000,110.98
1-00390-7501,1183-R1,217 EAST 7 STREET,EAST VILLAGE,1,16,2000,15704,541631,34.49,2455000,156.33
1-00390-7502,1125-R1,338 EAST 8 STREET,EAST VILLAGE,2,78,2001,65832,2518732,38.26,13083000,198.73
1-00392-7501,0341-R1,143 AVENUE B,EAST VILLAGE,1,83,1928,78982,2138833,27.08,9281001,117.51
1-00392-7502,1859-R1,631 EAST 9 STREET,EAST VILLAGE,1,12,2005,11603,469341,40.45,2415000,208.14
1-00393-7501,1138-R1,642 EAST 11 STREET,EAST VILLAGE,0,35,1999,36046,1178344,32.69,5568999,154.5
1-00394-7502,1113-R1,613 EAST 11 STREET,EAST VILLAGE,0,12,2001,15957,507433,31.8,2451000,153.6
1-00394-7503,1124-R1,625 EAST 11 STREET,EAST VILLAGE,0,12,2001,11495,365541,31.8,1765999,153.63
1-00396-7501,2105-R1,215 AVENUE B,EAST VILLAGE,1,17,2008,19333,782020,40.45,3543001,183.26
1-00397-7501,0489-R1,175 EAST 2 STREET,EAST VILLAGE,1,21,1920,20038,541026,27,2355999,117.58
1-00397-7502,0628-R1,240 EAST HOUSTON STREET,EAST VILLAGE,1,16,1920,19854,534271,26.91,2238999,112.77
1-00397-7502,0628-R2,240 EAST HOUSTON STREET,EAST VILLAGE,1,1,1920,1996,64870,32.5,306000,153.31
1-00398-7501,0394-R1,182 EAST 2 STREET,EAST VILLAGE,0,41,1987,35664,1068493,29.96,4675012,131.08
1-00399-7501,0602-R1,50 AVENUE A,EAST VILLAGE,2,17,1920,21314,570576,26.77,2584000,121.23
1-00405-7503,1104-R1,511 EAST 11 STREET,EAST VILLAGE,0,12,1999,14376,457876,31.85,2256000,156.93
1-00405-7504,1447-R1,525 EAST 11 STREET,EAST VILLAGE,1,26,1965,29906,989590,33.09,5064002,169.33
1-00406-7501,0852-R1,212 AVENUE B,EAST VILLAGE,0,24,1900,15021,379731,25.28,1578999,105.12
1-00407-7501,0338-R1,214 AVENUE A,EAST VILLAGE,0,18,1920,11033,268102,24.3,907499,82.25
1-00407-7502,1081-R1,503 EAST 13 STREET,EAST VILLAGE,0,18,1999,19119,528449,27.64,2568002,134.32
1-00432-7501,0714-R1,85 AVENUE A,EAST VILLAGE,1,32,1991,23605,879758,37.27,4862000,205.97
1-00434-7501,0642-R1,103 AVENUE A,EAST VILLAGE,1,20,1920,11229,402110,35.81,1909000,170.01
1-00434-7504,1526-R1,107 AVENUE A,EAST VILLAGE,1,10,1920,10461,370424,35.41,1815001,173.5
1-00437-7502,1947-R1,266 EAST 10 STREET,EAST VILLAGE,1,10,2007,6166,311445,50.51,1815000,294.36
1-00438-7502,1207-R1,416 EAST 11 STREET,EAST VILLAGE,1,13,2001,15742,581509,36.94,3333999,211.79
1-00440-7502,1264-R1,407 EAST 12 STREET,EAST VILLAGE,1,27,1900,30363,931840,30.69,5497000,181.04
1-00440-7503,1503-R1,431 EAST 12 STREET,EAST VILLAGE,0,13,1900,20099,595332,29.62,2982998,148.42
1-00441-7501,0292-R1,224 1 AVENUE,EAST VILLAGE,1,40,1911,25528,864378,33.86,5206002,203.93
1-00441-7503,1766-R1,421 EAST 13 STREET,EAST VILLAGE,1,96,2006,93382,3733412,39.98,22563999,241.63
1-00443-7502,1970-R1,62 EAST 1 STREET,EAST VILLAGE,1,11,2007,14982,563173,37.59,2998999,200.17
1-00444-7501,0271-R1,72 EAST 3 STREET,EAST VILLAGE,1,20,1900,17225,611488,35.5,3344993,194.19
1-00446-7501,0695-R1,125 EAST 4 STREET,EAST VILLAGE,2,28,2004,17793,663145,37.27,3665000,205.98
1-00446-7502,0705-R1,99 EAST 4 STREET,EAST VILLAGE,2,66,1920,67764,2552670,37.67,13580000,200.4
1-00447-7501,0777-R1,83 1 AVENUE,EAST VILLAGE,2,20,1900,11574,435067,37.59,2317000,200.19
1-00451-7502,1231-R1,240 EAST 10 STREET,EAST VILLAGE,1,35,1999,62556,2390890,38.22,14712999,235.2
1-00453-7501,2143-R1,311 EAST 11 STREET,EAST VILLAGE,1,36,2008,46707,1928065,41.28,11740999,251.38
1-00459-7502,2025-R1,52 EAST 4 STREET,EAST VILLAGE,1,14,2007,24778,1002270,40.45,5082998,205.14
1-00462-7501,0901-R1,24 EAST 7 STREET,EAST VILLAGE,2,34,1991,36693,1393233,37.97,8316000,226.64
1-00463-7501,0224-R1,63 COOPER SQUARE,EAST VILLAGE,1,36,1984,24528,1088062,44.36,5986997,244.09
1-00464-7501,0643-R1,214 EAST 9 STREET,EAST VILLAGE,1,14,1900,14650,484183,33.05,2680000,182.94
1-00464-7502,1402-R1,15 ST MARK'S PLACE,EAST VILLAGE,1,10,1910,11995,477761,39.83,2401000,200.17
