 Boro-Block-Lot, Condo Section, Neighborhood, Building Classification, Total Units, Year Built, Gross SqFt, Est. Gross Income, Gross Income per SqFt, Full Market Value,Market Value per SqFt,Normalized Market Value per SqFt,Normalized Gross Income,Normalized Gross Income per sqt,normailized full market value,,,,,
1-00746-7505,875-R1,0,1,11,1911,16083,590000,36.7,2960002,184,213.9,686161.0913,42.66375,,,,,,
1-00746-7506,1441-R1,0,1,77,1948,36000,1225000,34,5869998,163,189.4875,1422900,39.525,,,,,,
1-00751-7501,1328-R1,0,1,17,2002,15480,580000,37.5,2909999,188,218.55,674831.25,43.59375,,,,,,
1-00766-7501,276-R1,0,1,16,1985,19718,769002,39,3859999,196,227.85,893964.825,45.3375,,,,,,
1-00766-7502,629-R1,0,1,156,1989,141673,4958555,35,23800009,168,195.3,5764320.188,40.6875,,,,,,
1-00766-7503,1176-R1,0,1,11,1910,72256,2528960,35,12100001,167,194.1375,2939916,40.6875,,,,,,
1-00766-7504,1899-R1,0,1,31,1926,68206,2387210,35,17489998,256,297.6,2775131.625,40.6875,,,,,,
1-00767-7502,943-R1,0,1,32,1907,83519,2505570,30,12000005,144,167.4,2912725.125,34.875,,,,,,
1-00767-7503,2000-R1,0,1,37,2000,63723,2548920,40,12800002,201,233.6625,2963119.5,46.5,,,,,,
1-00767-7504,1305-R1,0,1,31,2002,52645,2105800,40,10600000,201,233.6625,2447992.5,46.5,,,,,,
1-00768-7501,249-R1,0,1,69,1939,51717,1551510,30,7430001,144,167.4,1803630.375,34.875,,,,,,
1-00768-7502,479-R1,0,1,109,1962,99750,2992500,30,14300003,143,166.2375,3478781.25,34.875,,,,,,
1-00768-7504,1442-R1,0,1,14,2004,23052,991236,43,4969998,216,251.1,1152311.85,49.9875,,,,,,
1-00769-7505,1239-R1,0,1,43,1910,82151,2464530,30,11799999,144,167.4,2865016.125,34.875,,,,,,
1-00769-7506,1269-R1,0,1,12,2002,33378,1335120,40,6700004,201,233.6625,1552077,46.5,,,,,,
1-00773-7501,1427-R1,0,1,20,2004,36967,1478680,40,7419999,201,233.6625,1718965.5,46.5,,,,,,
1-00773-7502,1476-R1,0,1,12,1900,44800,1836800,41,9210002,206,239.475,2135280,47.6625,,,,,,
1-00774-7501,1140-R1,0,1,351,1910,552679,22107160,40,110999986,201,233.6625,25699573.5,46.5,,,,,,
1-00792-7501,157-R1,0,1,48,1918,39792,1075000,27,5149997,129,149.9625,1248971.4,31.3875,,,,,,
1-00793-7501,69-R1,0,1,35,1900,61572,1910000,31,9150000,149,173.2125,2218900.95,36.0375,,,,,,
1-00793-7505,1234-R1,0,1,51,2001,111514,4250000,38.1,21300003,191,222.0375,4939094.453,44.29125,,,,,,
1-00793-7506,1314-R1,0,1,18,1910,54708,1750000,32,8380000,153,177.8625,2035137.6,37.2,,,,,,
1-00793-7507,1861-R1,0,1,43,2006,67387,4400000,65,22100002,328,381.3,5091930.188,75.5625,,,,,,
1-00793-7508,1921-R1,0,1,38,2008,70840,3612840,51,18099999,256,297.6,4199926.5,59.2875,,,,,,
1-00794-7501,1596-R1,0,1,64,2005,118000,4960000,42,24900001,211,245.2875,5761350,48.825,,,,,,
1-00794-7502,1638-R1,0,1,26,2006,45457,2200000,48.4,10999998,242,281.325,2557638.105,56.265,,,,,,
1-00795-7501,1552-R1,0,1,67,1903,120050,5040000,42,25300015,211,245.2875,5861441.25,48.825,,,,,,
1-00796-7501,393-R1,0,1,45,1987,31800,1150000,36.2,5770003,181,210.4125,1338223.5,42.0825,,,,,,
1-00796-7502,781-R1,0,1,28,1875,41294,1240000,30,5939997,144,167.4,1440128.25,34.875,,,,,,
1-00796-7503,1116-R1,0,1,15,1905,32085,1075000,33.5,5150001,161,187.1625,1249510.219,38.94375,,,,,,
1-00796-7504,1437-R1,0,1,49,1900,84890,3820000,45,19199999,226,262.725,4440808.125,52.3125,,,,,,
1-00797-7502,1122-R1,0,1,22,1911,58449,1900000,32.5,9100001,156,181.35,2208276.281,37.78125,,,,,,
1-00797-7505,1372-R1,0,1,13,2003,37035,1200000,32.4,5749999,155,180.1875,1394923.275,37.665,,,,,,
1-00798-7502,177-R1,0,1,120,1973,80000,3750000,46.9,18799996,235,273.1875,4361700,54.52125,,,,,,
1-00798-7503,729-R1,0,1,21,1950,28124,960000,34.1,4600001,164,190.65,1114870.515,39.64125,,,,,,
1-00798-7505,1845-R1,0,1,33,2006,66937,2877000,43,14430030,216,251.1,3346013.288,49.9875,,,,,,
1-00799-7501,1770-R1,0,1,20,1920,23621,830000,35.1,3980003,168,195.3,963825.3788,40.80375,,,,,,
1-00800-7501,970-R1,0,1,34,1911,81331,3350000,41.2,16800001,207,240.6375,3895348.245,47.895,,,,,,
1-00800-7504,1851-R1,0,1,203,2006,334205,17530000,52,87900247,263,305.7375,20202692.25,60.45,,,,,,
1-00801-7502,1195-R1,0,1,25,1922,48276,1740000,36,8730000,181,210.4125,2020350.6,41.85,,,,,,
1-00802-7501,848-R1,0,1,24,1911,70181,2700000,38.5,13500002,192,223.2,3141038.381,44.75625,,,,,,
1-00803-7501,766-R1,0,1,93,1926,94649,3900000,41.2,19600002,207,240.6375,4533213.855,47.895,,,,,,
1-00764-7501,656-R1,0,0,22,1930,16478,457264,27.7,2189996,133,154.6125,530612.1975,32.20125,,,,,,
1-00764-7502,794-R1,0,0,34,1930,19979,554417,27.7,2659996,133,154.6125,643348.7738,32.20125,,,,,,
1-00389-7501,545-R1,1,2,30,1901,20940,502560,24,2120000,101,122.8867,611464.752,29.2008,,,,,,
1-00390-7502,1125-R1,1,2,78,2001,65832,2523720,38.3,12000000,182,221.4394,3067745.526,46.59961,,,,,,
1-00399-7501,602-R1,1,2,17,1920,21314,490222,23,2070000,97,118.0199,596453.1074,27.9841,,,,,,
1-00432-7502,840-R1,1,2,26,1900,21586,505000,23.39,2130000,99,120.4533,614307.6202,28.458613,,,,,,
1-00446-7501,695-R1,1,2,28,2004,17793,640000,36,3040000,171,208.0557,779354.7516,43.8012,,,,,,
1-00446-7502,705-R1,1,2,66,1920,67764,2030000,30,9300000,137,166.6879,2473453.764,36.501,,,,,,
1-00447-7501,777-R1,1,2,20,1900,11574,340000,29.4,1560000,135,164.2545,414013.3225,35.77098,,,,,,
1-00462-7501,901-R1,1,2,34,1991,36693,1290000,35.2,6130000,167,203.1889,1571481.933,42.82784,,,,,,
1-00466-7501,1804-R1,1,2,28,2006,30662,1475000,48.1,7350000,240,292.008,1794440.505,58.52327,,,,,,
1-00468-7501,203-R1,1,2,16,1900,21607,570000,26.4,2610000,121,147.2207,694035.8542,32.12088,,,,,,
1-00469-7502,493-R1,1,2,155,1964,113930,3700000,32.5,17700000,155,188.5885,4505105.508,39.54275,,,,,,
1-00375-7501,1213-R1,1,1,25,2001,27798,705791,25.4,3059995,110,133.837,859074.3956,30.90418,,,,,,
1-00384-7503,1720-R1,1,1,23,2005,34734,1050700,30.2,5030003,145,176.4215,1276277.906,36.74434,,,,,,
1-00385-7501,1618-R1,1,1,47,2005,36472,1677712,46,7970000,219,266.4573,2041272.19,55.9682,,,,,,
1-00390-7501,1183-R1,1,1,16,2000,15704,526084,33.5,2519999,160,194.672,640086.4028,40.75945,,,,,,
1-00392-7501,341-R1,1,1,83,1928,78982,2014040,25.5,8750003,111,135.0537,2450483.685,31.02585,,,,,,
1-00397-7501,489-R1,1,1,21,1920,20038,508564,25.4,2209999,110,133.837,619257.9588,30.90418,,,,,,
1-00397-7502,628-R1,1,1,16,1920,19854,476496,24,2069997,104,126.5368,579752.6832,29.2008,,,,,,
1-00405-7504,1447-R1,1,1,26,1965,29906,1046710,35,5010000,168,204.4056,1273532.057,42.5845,,,,,,
1-00432-7501,714-R1,1,1,32,1991,23605,895000,37.9,4490003,190,231.173,1088495.713,46.11293,,,,,,
1-00434-7501,642-R1,1,1,20,1920,11229,310000,27.6,1480000,132,160.6044,377080.1507,33.58092,,,,,,
1-00438-7502,1207-R1,1,1,13,2001,15742,580000,36.8,2909998,185,225.0895,704841.1235,44.77456,,,,,,
1-00440-7502,1264-R1,1,1,27,1900,30363,915000,30.1,4380000,144,175.2048,1111974.129,36.62267,,,,,,
1-00441-7501,292-R1,1,1,40,1911,25528,815000,31.9,3899996,153,186.1551,990811.3714,38.81273,,,,,,
1-00441-7503,1766-R1,1,1,96,2006,93382,4100000,43.9,20599999,221,268.8907,4987824.906,53.41313,,,,,,
1-00444-7501,271-R1,1,1,20,1900,17225,550000,31.9,2629994,153,186.1551,668549.2743,38.81273,,,,,,
1-00451-7502,1231-R1,1,1,35,1999,62556,2390000,38.2,11999995,192,233.6064,2907474.015,46.47794,,,,,,
1-00463-7501,224-R1,1,1,36,1984,24528,1100000,44.8,5519998,225,273.7575,1336976.148,54.50816,,,,,,
1-00464-7501,643-R1,1,1,14,1900,14650,470000,32.1,2250000,154,187.3718,572171.4255,39.05607,,,,,,
1-00469-7501,390-R1,1,1,16,1920,12192,365000,29.9,1749995,144,175.2048,443536.7914,36.37933,,,,,,
1-00386-7501,548-R1,1,0,13,1920,18990,436770,23,1900004,100,121.67,531418.059,27.9841,,,,,,
1-00393-7501,1138-R1,1,0,35,1999,36046,1117426,31,5349997,148,180.0716,1359572.214,37.7177,,,,,,
1-00394-7502,1113-R1,1,0,12,2001,15957,478710,30,2289996,144,175.2048,582446.457,36.501,,,,,,
1-00394-7503,1124-R1,1,0,12,2001,11495,389450,33.9,1870000,163,198.3221,474124.2644,41.24613,,,,,,
1-00398-7501,394-R1,1,0,41,1987,35664,1034256,29,4950007,139,169.1213,1258379.275,35.2843,,,,,,
1-00405-7503,1104-R1,1,0,12,1999,14376,431280,30,2070000,144,175.2048,524738.376,36.501,,,,,,
1-00406-7501,852-R1,1,0,24,1900,15021,315441,21,1370001,91,110.7197,383797.0647,25.5507,,,,,,
1-00407-7501,338-R1,1,0,18,1920,11033,220660,20,932000,84,102.2028,268477.022,24.334,,,,,,
1-00407-7502,1081-R1,1,0,18,1999,19119,559230,29.2,2680001,140,170.338,679252.9492,35.52764,,,,,,
1-00440-7503,1503-R1,1,0,13,1900,20099,510000,25.4,2210002,110,133.837,621143.1138,30.90418,,,,,,
1-00465-7501,1972-R1,1,0,12,1900,14269,438771,30.7,2100001,147,178.8549,532985.5336,37.35269,,,,,,
1-00525-7501,150-R1,2,2,190,1910,132000,3346200,25.4,14100000,107,123.2212,3861084.48,29.25064,,,,,,
1-00525-7503,646-R1,2,2,54,1958,23688,604044,25.5,2770000,117,134.7372,695617.0704,29.3658,,,,,,
1-00535-7501,295-R1,2,2,273,1908,290492,9586236,33,43900000,151,173.8916,11039509.38,38.0028,,,,,,
1-00540-7501,567-R1,2,2,18,1900,15744,409344,26,1870000,119,137.0404,471400.5504,29.9416,,,,,,
1-00542-7501,484-R1,2,2,24,1928,17842,465000,26.1,2130000,119,137.0404,536272.7119,30.05676,,,,,,
1-00542-7502,644-R1,2,2,40,1900,22777,630000,27.7,2880000,126,145.1016,726570.8116,31.89932,,,,,,
1-00544-7502,1496-R1,2,2,39,2004,116535,4894470,42,23300000,200,230.32,5636471.652,48.3672,,,,,,
1-00548-7501,797-R1,2,2,390,1965,445151,15580285,35,74000000,166,191.1656,17942256.21,40.306,,,,,,
1-00557-7501,39-R1,2,2,65,1900,83089,2201858,26.5,10100000,122,140.4952,2535660.249,30.5174,,,,,,
1-00560-7501,306-R1,2,2,145,1955,136098,3606597,26.5,16500000,121,139.3436,4153357.105,30.5174,,,,,,
1-00560-7502,304-R1,2,2,150,1959,160209,4646061,29,21300000,133,153.1628,5350403.848,33.3964,,,,,,
1-00560-7503,303-R1,2,2,213,1954,140370,3789990,27,17400000,124,142.7984,4364552.484,31.0932,,,,,,
1-00561-7501,787-R1,2,2,229,1955,209785,5873980,28,26900000,128,147.4048,6764475.368,32.2448,,,,,,
1-00571-7501,27-R1,2,2,39,1928,42384,1133772,26.8,5190000,122,140.4952,1308092.306,30.86288,,,,,,
1-00572-7501,747-R1,2,2,23,1952,13256,371168,28,1780000,134,154.3144,427437.0688,32.2448,,,,,,
1-00573-7502,89-R1,2,2,119,1959,94250,2497625,26.5,11400000,121,139.3436,2876264.95,30.5174,,,,,,
1-00575-7501,515-R1,2,2,15,1900,9380,255000,27.2,1170000,125,143.95,293814.6176,31.32352,,,,,,
1-00576-7503,886-R1,2,2,30,1910,34168,854200,25,3610000,106,122.0696,983696.72,28.79,,,,,,
1-00584-7501,743-R1,2,2,169,1925,100633,2515825,25,10600000,105,120.918,2897224.07,28.79,,,,,,
1-00590-7502,608-R1,2,2,86,1930,89510,2271763,25.4,10400000,116,133.5856,2618224.786,29.25064,,,,,,
1-00593-7501,663-R1,2,2,30,1910,21738,652140,30,2990000,138,158.9208,751004.424,34.548,,,,,,
1-00612-7502,626-R1,2,2,30,1910,19715,500000,25.4,2110000,107,123.2212,576676.3676,29.25064,,,,,,
1-00612-7503,698-R1,2,2,25,1905,13997,380000,27.1,1740000,124,142.7984,436823.4149,31.20836,,,,,,
1-00616-7501,445-R1,2,2,241,1931,209011,5300000,25.4,22400000,107,123.2212,6113705.517,29.25064,,,,,,
1-00623-7501,776-R1,2,2,60,1920,32638,915000,28,4190000,128,147.4048,1052405.782,32.2448,,,,,,
1-00624-7504,640-R1,2,2,87,1939,75154,2440000,32.5,11200000,149,171.5884,2812788.758,37.427,,,,,,
1-00631-7501,18-R1,2,2,20,1910,53943,1590000,29.5,7620000,141,162.3756,1832562.385,33.9722,,,,,,
1-00521-7501,630-R1,2,1,18,1988,9514,332990,35,1599997,168,193.4688,383471.284,40.306,,,,,,
1-00522-7501,348-R1,2,1,11,1910,31039,807014,26,3500001,113,130.1308,929357.3224,29.9416,,,,,,
1-00525-7502,212-R1,2,1,11,1910,6670,180000,27,862000,129,148.5564,207391.644,31.0932,,,,,,
1-00525-7506,1685-R1,2,1,144,1910,85234,2557020,30,12199995,143,164.6788,2944664.232,34.548,,,,,,
1-00529-7502,494-R1,2,1,20,1904,24630,735000,29.8,3519996,143,164.6788,845244.4584,34.31768,,,,,,
1-00529-7504,631-R1,2,1,21,1900,41990,1133730,27,5430002,129,148.5564,1305603.468,31.0932,,,,,,
1-00530-7505,1721-R1,2,1,26,2006,85000,3570000,42,17900002,211,242.9876,4111212,48.3672,,,,,,
1-00531-7501,70-R1,2,1,56,1912,92500,3052500,33,14600004,158,181.9528,3515259,38.0028,,,,,,
1-00544-7501,2004-R1,2,1,25,1920,88353,3401590,38.5,17099999,194,223.4104,3917271.62,44.3366,,,,,,
1-00545-7503,1341-R1,2,1,50,1930,96566,2666665,27.6,12800002,133,153.1628,3069269.195,31.78416,,,,,,
1-00552-7501,349-R1,2,1,28,1986,43106,1150000,26.7,4989995,116,133.5856,1325411.218,30.74772,,,,,,
1-00552-7504,1660-R1,2,1,28,1966,32116,1100000,34.3,5269992,164,188.8624,1268578.146,39.49988,,,,,,
1-00556-7501,330-R1,2,1,11,1905,28385,777376,27.4,3720003,131,150.8596,895655.7484,31.55384,,,,,,
1-00558-7501,210-R1,2,1,41,1985,56483,1638000,29,7850001,139,160.0724,1886328.861,33.3964,,,,,,
1-00558-7502,446-R1,2,1,70,1905,90082,2522296,28,12099998,134,154.3144,2904676.074,32.2448,,,,,,
1-00558-7503,684-R1,2,1,44,1988,57042,1654218,29,7920000,139,160.0724,1904997.449,33.3964,,,,,,
1-00559-7501,1742-R1,2,1,84,2006,100500,4422000,44,22200001,221,254.5036,5092375.2,50.6704,,,,,,
1-00563-7501,298-R1,2,1,44,1985,43542,1306260,30,6260001,144,165.8304,1504289.016,34.548,,,,,,
1-00567-7501,1177-R1,2,1,96,1921,81875,3025330,37,15200020,186,214.1976,3488628.25,42.6092,,,,,,
1-00569-7501,154-R1,2,1,27,1907,66739,1735214,26,7530002,113,130.1308,1998272.442,29.9416,,,,,,
1-00569-7502,205-R1,2,1,12,1908,28097,744570,26.5,3230000,115,132.434,857447.3878,30.5174,,,,,,
1-00569-7503,248-R1,2,1,37,1910,52493,1416311,27,6780002,129,148.5564,1632175.348,31.0932,,,,,,
1-00569-7504,1028-R1,2,1,115,1903,60860,1764940,29,8449995,139,160.0724,2032504.904,33.3964,,,,,,
1-00575-7502,1895-R1,2,1,17,1912,34118,852950,25,3700002,108,124.3728,982257.22,28.79,,,,,,
1-00576-7501,3-R1,2,1,70,1966,82017,2214459,27,10599991,129,148.5564,2550170.984,31.0932,,,,,,
1-00576-7502,421-R1,2,1,105,1931,112050,3249450,29,15600000,139,160.0724,3742066.62,33.3964,,,,,,
1-00577-7502,1180-R1,2,1,77,1906,201330,7046550,35,33799993,168,193.4688,8114806.98,40.306,,,,,,
1-00528-7501,426-R1,2,1,32,1986,35225,1056750,30,5060000,144,165.8304,1216953.3,34.548,,,,,,
1-00528-7502,495-R1,2,1,12,1986,15990,479700,30,2299999,144,165.8304,552422.52,34.548,,,,,,
1-00589-7501,48-R1,2,1,43,1929,66282,1922178,29,9209999,139,160.0724,2213580.185,33.3964,,,,,,
1-00592-7501,562-R1,2,1,45,1900,21494,591085,27.5,2829993,132,152.0112,680693.486,31.669,,,,,,
1-00593-7502,1678-R1,2,1,18,1915,44820,1434240,32,6869999,153,176.1948,1651670.784,36.8512,,,,,,
1-00601-7501,542-R1,2,1,184,1920,212232,7003656,33,33499993,158,181.9528,8065410.25,38.0028,,,,,,
1-00602-7501,1368-R1,2,1,142,2002,310000,14105000,45.5,70699994,228,262.5648,16243318,52.3978,,,,,,
1-00604-7501,79-R1,2,1,83,1920,88227,2735037,31,13100007,148,170.4368,3149668.609,35.6996,,,,,,
1-00608-7501,487-R1,2,1,214,1961,165160,5110000,30.9,24499998,148,170.4368,5877126.11,35.58444,,,,,,
1-00609-7502,965-R1,2,1,18,1912,46687,1310000,28.1,6270000,134,154.3144,1510789.453,32.35996,,,,,,
1-00610-7501,366-R1,2,1,113,1931,120723,3600000,29.8,17200005,142,163.5272,4142933.283,34.31768,,,,,,
1-00612-7501,530-R1,2,1,21,1987,18780,730000,38.9,3660002,195,224.562,841292.1672,44.79724,,,,,,
1-00612-7504,850-R1,2,1,122,1964,92616,2350000,25.4,10199997,110,126.676,2709077.274,29.25064,,,,,,
1-00618-7501,447-R1,2,1,132,1987,101634,3600000,35.4,17200001,169,194.6204,4143276.69,40.76664,,,,,,
1-00620-7501,1087-R1,2,1,22,1998,41506,2050000,49.4,10299998,248,285.5968,2361236.494,56.88904,,,,,,
1-00624-7502,106-R1,2,1,15,1983,27448,830000,30.2,3980004,145,166.982,954595.3274,34.77832,,,,,,
1-00624-7503,439-R1,2,1,128,1910,138934,3750000,27,18000004,130,149.708,4319902.649,31.0932,,,,,,
1-00625-7501,363-R1,2,1,182,1930,159268,4100000,25.7,17799998,112,128.9792,4713714.84,29.59612,,,,,,
1-00629-7501,469-R1,2,1,21,1907,30312,1060000,35,5080000,168,193.4688,1221755.472,40.306,,,,,,
1-00629-7502,544-R1,2,1,49,1962,32863,985000,30,4720001,144,165.8304,1135350.924,34.548,,,,,,
1-00629-7503,1057-R1,2,1,47,1920,123881,4950000,40,24800002,200,230.32,5706454.384,46.064,,,,,,
1-00629-7504,1120-R1,2,1,11,1920,23425,870000,37.1,4359999,186,214.1976,1000818.133,42.72436,,,,,,
1-00631-7502,376-R1,2,1,77,1987,73176,2600000,35.5,12499999,171,196.9236,2991566.597,40.8818,,,,,,
1-00635-7501,158-R1,2,1,24,1930,42407,1450000,34.2,6949997,164,188.8624,1670187.821,39.38472,,,,,,
1-00636-7501,1011-R1,2,1,24,1997,38871,1740000,44.8,8729999,225,259.11,2005420.193,51.59168,,,,,,
1-00636-7502,1542-R1,2,1,20,1900,11852,430000,36.3,2160003,182,209.5912,495450.1042,41.80308,,,,,,
1-00637-7502,473-R1,2,1,81,1987,60200,2230000,37,11200000,186,214.1976,2565073.84,42.6092,,,,,,
1-00637-7504,1229-R1,2,1,23,2001,88141,4250000,48.2,21300000,242,278.6872,4892453.064,55.50712,,,,,,
1-00637-7505,1453-R1,2,1,29,2004,72225,3250000,45,16299994,226,260.2616,3742843.95,51.822,,,,,,
1-00638-7501,576-R1,2,1,24,1988,21991,770000,35,3690002,168,193.4688,886369.246,40.306,,,,,,
1-00638-7502,1211-R1,2,1,18,1999,39213,1600000,40.8,8020000,205,236.078,1842433.785,46.98528,,,,,,
1-00641-7501,329-R1,2,1,27,1910,20546,650000,31.6,3036550,148,170.4368,747680.4458,36.39056,,,,,,
1-00642-7502,1066-R1,2,1,84,1997,147335,6000000,40.7,30100004,204,234.9264,6905609.13,46.87012,,,,,,
1-00572-7502,1256-R1,2,0,18,1900,14398,450000,31.3,2160002,150,172.74,518977.0618,36.04508,,,,,,
1-00587-7501,293-R1,2,0,30,1929,19320,483000,25,2099997,109,125.5244,556222.8,28.79,,,,,,
1-00620-7502,1459-R1,2,0,40,1893,18403,530000,28.8,2539998,138,158.9208,610355.3702,33.16608,,,,,,
1-00621-7503,1688-R1,2,0,21,1914,13648,440000,32.2,2110006,155,178.498,506088.585,37.08152,,,,,,
1-00643-7501,314-R1,2,0,12,1910,11270,340000,30.2,1629999,145,166.982,391951.6664,34.77832,,,,,,
1-01600-7501,1073-R1,3,2,240,1999,312016,8736448,28,40000000,128,118.0544,8057625.99,25.8244,,,,,,
1-01745-7501,1382-R1,3,2,92,2003,97592,2860000,29.3,13100000,134,123.5882,2637266.677,27.02339,,,,,,
1-01901-7501,1478-R1,3,2,28,2004,52916,1799144,34,8550000,162,149.4126,1659350.511,31.3582,,,,,,
1-01901-7501,1478-R2,3,2,23,2004,37719,1282446,34,6090000,161,148.4903,1182799.946,31.3582,,,,,,
1-01947-7501,1289-R1,3,2,74,2003,93600,2808000,30,12900000,138,127.2774,2589818.4,27.669,,,,,,
1-02034-7501,1365-R1,3,2,104,1920,143389,4014892,28,18400000,128,118.0544,3702934.892,25.8244,,,,,,
1-02044-7501,1422-R1,3,2,128,2003,212047,6361410,30,29100000,137,126.3551,5867128.443,27.669,,,,,,
1-02045-7502,1717-R1,3,2,135,2005,164085,4922550,30,20800000,127,117.1321,4540067.865,27.669,,,,,,
1-02051-7501,1327-R1,3,2,77,2001,91858,2755740,30,12600000,137,126.3551,2541619.002,27.669,,,,,,
1-01623-7501,1322-R1,3,2,152,2003,109646,2850000,26,12000000,109,100.5307,2629289.151,23.9798,,,,,,
1-01646-7502,1512-R2,3,2,215,2005,184939,6270000,33.9,29800000,161,148.4903,5782297.226,31.26597,,,,,,
1-01674-7501,1471-R1,3,2,233,2003,315656,9200000,29.1,42100000,133,122.6659,8471869.288,26.83893,,,,,,
1-01599-7501,1359-R1,3,1,129,2003,163480,5067880,31,24300005,149,137.4227,4674105.724,28.5913,,,,,,
1-01599-7502,1735-R1,3,1,248,2006,395140,12249340,31,58700069,149,137.4227,11297566.28,28.5913,,,,,,
1-01720-7501,1323-R1,3,1,36,1909,40987,735000,17.93,2909999,71,65.4833,677795.4201,16.536839,,,,,,
1-01721-7501,751-R1,3,1,24,1900,27073,460000,16.99,1820001,67,61.7941,424230.58,15.669877,,,,,,
1-01724-7501,1713-R1,3,1,23,2005,32150,725000,22.55,3149989,98,90.3854,668651.3598,20.797865,,,,,,
1-01727-7501,1578-R1,3,1,77,2005,131237,3740000,28.5,17900009,136,125.4328,3449636.725,26.28555,,,,,,
1-01729-7501,846-R1,3,1,34,1898,28408,540000,19.01,2140002,75,69.1725,498075.2766,17.532923,,,,,,
1-01753-7501,1525-R1,3,1,12,2005,12000,350000,29.2,1679996,140,129.122,323173.92,26.93116,,,,,,
1-01753-7502,1656-R1,3,1,18,2004,15023,400000,26.6,1740000,116,106.9868,368561.9631,24.53318,,,,,,
1-01820-7501,592-R1,3,1,35,1910,36637,769377,21,3340006,91,83.9293,709596.4071,19.3683,,,,,,
1-01820-7502,1520-R1,3,1,17,1900,22039,661170,30,3169999,144,132.8112,609797.091,27.669,,,,,,
1-01820-7503,1768-R1,3,1,48,2006,189758,6262014,33,30000011,158,145.7234,5775455.512,30.4359,,,,,,
1-01823-7501,807-R1,3,1,54,1915,58429,1051722,18,4159999,71,65.4833,970003.2006,16.6014,,,,,,
