 Boro-Block-Lot, Condo Section, Neighborhood, Building Classification, Total Units, Year Built, Gross SqFt, Est. Gross Income, Gross Income per SqFt, Full Market Value,Market Value per SqFt,Normalized Market Value per SqFt,Normalized Gross Income,Normalized Gross Income per sqt,normailized full market value
1-00215-7502,1393-R1,7,1,24,1930,53708,1743000,32.5,8439999,157,178.6635365,1986362.991,36.98449004,9595661.218
1-00217-7501,1243-R1,7,1,33,1853,100894,3330000,33,13111051,130,147.9379602,3788921.033,37.5534822,14926052.56
1-00218-7501,1457-R1,7,1,65,2004,163128,5710000,35,28699999,176,200.2852384,6497298.653,39.82945082,32672130.37
1-00219-7501,944-R1,7,1,28,1920,88897,2200000,24.75,9829999,111,126.3162583,2503793.93,28.16511165,11229136.41
1-00219-7502,1003-R1,7,1,16,1930,37785,1030000,27.3,4989999,132,150.2139288,1173865.523,31.06697164,5675833.3
1-00219-7504,1191-R1,7,1,12,1915,52924,1445000,27.3,6999999,132,150.2139288,1644188.407,31.06697164,7949921.968
1-00220-7502,2002-R1,7,1,31,1920,94924,3135000,33,15199999,160,182.0774894,3564726.744,37.5534822,17283523.6
1-00220-7503,1392-R1,7,1,33,1900,61717,1820000,29.5,8820001,143,162.7317562,2071872.839,33.57053712,10043315.8
1-00222-7501,136-R1,7,1,20,1962,36435,1002000,27.5,4850002,133,151.3519131,1140217.603,31.2945685,5514506.954
1-00222-7502,1064-R1,7,1,27,1920,88496,2700000,30.5,13100000,148,168.4216777,3071565.312,34.70852142,14904644.79
1-00225-7501,1321-R1,7,2,38,1910,73919,1910000,25.8,9250000,125,142.2480386,2170261.483,29.35999517,10514832.77
1-01373-7501,1518-R1,8,1,230,2004,184076,5910000,32.1,28599996,155,196.0791179,7474839.074,40.6073528,36093459.71
1-01373-7502,1714-R1,8,1,216,2006,185948,5020596,27,24299985,131,165.7184803,6351187.322,34.15571731,30815019.97
1-01374-7502,1304-R1,8,1,126,2002,220037,11380000,52,57200008,260,328.9069074,14474337.84,65.78138148,72371689.18
1-01375-7501,98-R1,8,1,36,1928,78349,2940000,37.5,14799999,189,239.0900211,3716758.743,47.43849626,18732464.06
1-01376-7501,244-R1,8,1,13,1910,33255,945000,28.4,4580000,138,174.5736662,1194744.221,35.9267545,5805447.269
1-01377-7501,14-R1,8,1,16,1925,58566,2250000,38.4,11300000,193,244.1501274,2844961.763,48.57702017,14298896.36
1-01377-7502,111-R1,8,1,68,1901,85219,3170000,37.2,14437208,169,213.7894898,4010319.923,47.05898829,18218926.53
1-01377-7503,379-R1,8,1,15,1910,24508,800000,32.6,3880002,158,199.8741976,1010706.638,41.23986608,4898516.835
1-01379-7502,1015-R1,8,1,67,1925,185696,9400000,51,44627477,240,303.6063761,11980429.04,64.51635491,56378489.62
1-01379-7504,1160-R1,8,1,18,1951,56729,3070000,54,15400004,271,342.8221996,3875239.374,68.31143461,19447960.56
1-01381-7501,400-R1,8,1,27,1934,25652,900000,35.1,4530000,177,223.9097023,1139011.198,44.4024325,5743731.683
1-01381-7502,582-R1,8,2,35,1941,77739,2150000,27.7,10400000,134,169.51356,2724070.638,35.0412359,13177814.64
1-01381-7503,598-R1,8,1,46,1941,62196,1800000,28.9,8719999,140,177.1037194,2273840.219,36.55926778,11015142.93
1-01381-7504,653-R1,8,1,19,1941,43682,1310000,30,6349998,145,183.4288522,1657766.715,37.95079701,8012539.122
1-01382-7501,805-R1,8,2,84,1955,96152,2850000,29.6,13800000,144,182.1638256,3600391.1,37.44478638,17515416.16
1-01384-7501,897-R1,8,1,12,1927,56415,2150000,38.1,10799998,191,241.6200743,2719062.651,48.1975122,13630996.49
1-01384-7502,1095-R1,8,1,48,1926,123994,7000000,56,35200001,284,359.267545,8783919.432,70.84148775,44547019.97
1-01385-7502,1510-R1,8,2,62,1928,273875,7635000,27.9,37000000,135,170.7785865,9666210.314,35.29424122,46771985.38
1-01386-7501,193-R1,8,1,48,1928,92781,2600000,28,12599998,136,172.0436131,3286372.037,35.42074387,15962378.47
1-01386-7502,375-R1,8,1,16,1986,42830,1630000,38.1,8200000,191,241.6200743,2064299.448,48.1975122,10348587.78
1-01388-7501,104-R1,8,1,98,1959,153046,5750000,37.6,28899994,189,239.0900211,7279632.825,47.56499892,36591771.37
1-01389-7501,50-R1,8,2,82,1912,82280,2580000,31.4,12500000,152,192.2840382,3268312.518,39.7218342,15821130.66
1-01390-7501,23-R1,8,1,15,1928,24277,965000,39.7,4850002,200,253.0053134,1219228.684,50.22155471,6142209.993
1-01390-7502,94-R1,8,1,30,1982,42054,1600000,38,8039999,191,241.6200743,2021578.235,48.07100954,10161090.6
1-01391-7501,946-R1,8,1,12,1910,9445,260000,27.5,1260000,133,168.2485334,328574.8379,34.78823059,1589107.398
1-01392-7501,460-R1,8,1,111,1958,176897,5540000,31.3,26799994,152,192.2840382,7004295.363,39.59533154,34014469.51
1-01393-7501,637-R1,8,1,13,1910,14977,565000,37.7,2839999,190,240.3550477,714275.619,47.69150157,3599797.549
1-01394-7501,1101-R1,8,1,44,1998,158497,8250000,52,41499994,262,331.4369605,10426151.62,65.78138148,52531763.93
1-01395-7501,87-R1,8,2,166,1963,165925,5460000,32.9,26500000,160,202.4042507,6905694.639,41.61937405,33583925.3
1-01395-7502,624-R1,8,1,27,1912,50302,1540000,30.6,7460002,148,187.2239319,1947181.011,38.70981295,9417738.222
1-01395-7503,667-R1,8,1,48,1915,100093,3000000,30,14499997,145,183.4288522,3798609.125,37.95079701,18359944.1
1-01397-7502,230-R1,8,1,12,1915,4777,160000,33.5,774995,162,204.9343038,202441.569,42.37838999,978971.1693
1-01397-7503,733-R1,8,1,157,1959,204524,6835000,33.4,33099991,162,204.9343038,8641525.006,42.25188734,41913983.55
1-01397-7504,770-R1,8,2,74,1960,104981,3060000,29.1,14800000,141,178.3687459,3864589.242,36.8122731,18725329.31
1-01397-7505,1729-R1,8,1,86,1927,128842,5540206,43,25723762,200,253.0053134,7008507.777,54.39614238,32597710.59
1-01398-7501,345-R1,8,1,205,1987,216171,9240000,42.7,46500003,215,271.9807119,11676829.88,54.01663441,58794342.47
1-01398-7502,543-R1,8,2,52,1962,90629,2645000,29.2,12800000,141,178.3687459,3347724.307,36.93877575,16165381.07
1-01400-7501,1151-R1,8,1,93,2000,180846,9150000,51,46000005,254,321.316748,11667524.72,64.51635491,58108848.61
1-01402-7501,478-R1,8,2,164,1965,129320,4240000,32.8,20500000,159,201.1392241,5365858.129,41.4928714,26011324.46
1-01404-7501,151-R1,8,1,76,1969,106669,3610000,33.8,17499987,164,207.464357,4560942.217,42.75789796,22130015.5
1-01404-7503,332-R1,8,1,97,1986,165624,6830000,41.2,34300000,207,261.8604994,8632172.917,52.11909456,43370383.35
1-01405-7501,103-R1,8,1,21,1982,34906,1375000,39.4,6909992,198,250.4752603,1739786.484,49.84204674,8743089.436
1-01407-7501,161-R1,8,1,138,1924,108820,3560000,32.7,17199999,158,199.8741976,4501488.246,41.36636874,21750310.18
1-01409-7501,299-R1,8,1,19,1986,41754,1465000,35.1,7370001,177,223.9097023,1853979.167,44.4024325,9349125.71
1-01409-7502,573-R1,8,2,55,1929,117892,3910000,33.2,18900000,160,202.4042507,4951332.199,41.99888202,23861841.92
1-01409-7503,639-R1,8,2,32,1925,53255,1715000,32.2,8310000,156,197.3441444,2169281.472,40.73385545,10509562.41
1-01410-7501,237-R1,8,2,81,1961,123370,3595000,29.1,17400000,141,178.3687459,4541530.132,36.8122731,22005352.18
1-01410-7502,721-R1,8,2,30,1925,45621,1470000,32.2,5555555,122,154.3332412,1858319.219,40.73385545,7040836.797
1-01410-7503,968-R1,8,1,73,1996,155731,6869294,44.1,34500001,222,280.8358979,8687869.886,55.7876716,43734855.22
1-01410-7504,1782-R1,8,1,38,1920,55758,1672740,30,8100000,145,183.4288522,2116060.54,37.95079701,10227625.94
1-01411-7501,1077-R1,8,1,20,1999,68979,2970235,43.1,14899999,216,273.2457385,3760917.532,54.52264503,18848217.8
1-01411-7502,1760-R1,8,1,56,1942,79883,2172817,27.2,10500001,131,165.7184803,2748671.989,34.40872262,13238089.36
1-01412-7501,712-R1,8,2,36,1927,54967,1380221,25.1,6170000,112,141.6829755,1745321.354,31.75216683,7787888.114
1-01412-7502,1158-R1,8,1,71,2000,165787,8030722,48.4,40399999,244,308.6664823,10150688.04,61.22728584,51172890.1
1-01412-7503,1407-R1,8,1,57,1942,72296,1850000,25.6,8960000,124,156.8632943,2341282.833,32.38468011,11340588.72
1-01413-7501,257-R1,8,1,66,1985,97000,3150000,32.5,15300013,158,199.8741976,3987996.253,41.11336343,19387797.17
1-01413-7502,1366-R1,8,1,14,1900,7541,215000,28.5,1040000,138,174.5736662,271877.6122,36.05325716,1316460.017
1-01414-7501,139-R1,8,1,137,1965,102271,3300285,32.3,15999997,156,197.3441444,4178829.684,40.86035811,20182582.99
1-01414-7502,1465-R1,8,1,62,2003,82086,2089909,25.5,10099995,123,155.5982677,2647944.755,32.25817746,12772439.4
1-01415-7501,307-R1,8,1,219,1986,254167,9089011,35.8,45699991,180,227.704782,11510702.67,45.2879511,57875041.33
1-01419-7501,197-R1,8,1,88,1963,124765,4029909,32.3,17549907,141,178.3687459,5097942.58,40.86035811,22254176.58
1-01419-7502,529-R1,8,1,295,1987,318183,11648679,36.6,58600004,184,232.7648883,14731864.1,46.29997235,74061830.45
1-01419-7503,833-R1,8,1,287,1978,307730,10364346,33.7,50199997,163,206.1993304,13118959.28,42.63139531,63453719.94
1-01423-7501,765-R1,8,1,283,1991,408657,19018896,46.5,95600003,234,296.0162167,24038731.22,58.82373536,120969099.1
1-01424-7501,466-R1,8,2,204,1957,206511,5749266,27.8,27900000,135,170.7785865,7262524.858,35.16773856,35267656.68
1-01424-7503,1797-R1,8,0,16,1900,9237,299370,32.4,1450000,157,198.609171,378595.6329,40.98686077,1834552.913
1-01425-7501,465-R1,8,2,88,1957,89223,2799817,31.4,12000000,134,169.51356,3544101.213,39.7218342,15124508.36
1-01430-7501,784-R1,8,2,295,1957,239536,6790845,28.3,32900000,137,173.3086397,8575449.125,35.80025184,41513658.32
1-01432-7501,356-R1,8,1,30,1930,18869,530030,28.1,2570000,136,172.0436131,670740.9948,35.54724653,3246290.936
1-01433-7501,423-R1,8,2,218,1931,233483,6269018,26.8,30400000,130,164.4534537,7915706.904,33.90271199,38397085.73
1-01435-7501,553-R1,8,1,157,1986,112099,4180171,37.3,21000001,187,236.559968,5289446.35,47.18549095,26518135.85
1-01436-7501,272-R1,8,1,110,1986,112573,4284528,38.1,21499981,191,241.6200743,5425738.541,48.1975122,27199896.62
1-01436-7502,546-R1,8,1,93,1977,66688,2184698,32.8,10599994,159,201.1392241,2767076.608,41.4928714,13413572.58
1-01436-7503,1665-R1,8,1,45,2005,28035,1345680,48,6770000,241,304.8714026,1702320.951,60.72127521,8547069.772
1-01438-7501,1-R1,8,1,306,1965,504238,17400000,34.5,87327061,173,218.8495961,22006669.08,43.64341656,110352282.6
1-01439-7501,427-R1,8,1,127,1987,149981,5645284,37.6,28400011,189,239.0900211,7133846.103,47.56499892,35858960.45
1-01439-7502,802-R1,8,2,56,1910,30899,909975,29.4,4410000,143,180.8987991,1149188.843,37.19178107,5589591.993
1-01441-7501,693-R1,8,1,204,1956,203938,7160263,35.1,36000003,177,223.9097023,9055343.279,44.4024325,45663696.87
1-01443-7501,175-R1,8,1,20,1984,22283,699909,31.4,3390004,152,192.2840382,885121.6315,39.7218342,4284665.223
1-01444-7501,377-R1,8,2,198,1963,206278,5959371,28.9,28900000,140,177.1037194,7541372.639,36.55926778,36532601.03
1-01445-7501,325-R1,8,2,284,1961,277478,7736086,27.9,37500000,135,170.7785865,9793375.465,35.29424122,47387300.62
1-01446-7501,514-R1,8,1,36,1988,70776,2700000,38.1,13600005,192,242.8851008,3411227.123,48.1975122,17190435.89
1-01446-7502,950-R1,8,1,75,1996,125555,4954400,39.5,24900024,198,250.4752603,6273801.219,49.96854939,31448421.31
1-01446-7503,1521-R1,8,1,13,2005,33133,1360000,41,6840002,206,260.5954728,1718479.135,51.86608924,8634309.8
1-01447-7501,406-R1,8,2,177,1961,175387,5789524,33,28100000,160,202.4042507,7321684.079,41.74587671,35499074.32
1-01448-7501,682-R1,8,2,121,1957,119227,3240589,27.2,15700000,132,166.9835068,4102448.772,34.40872262,19908942.57
1-01449-7501,196-R1,8,1,197,1985,238634,8829458,37,44399961,186,235.2949414,11169498.94,46.80598298,56149373.05
1-01449-7502,380-R1,8,2,149,1987,148594,5224565,35.2,26300000,177,223.9097023,6616732.591,44.52893516,33271638.3
1-01450-7501,707-R1,8,2,125,1961,91143,2860067,31.4,13900000,153,193.5490647,3620367.134,39.7218342,17640642.4
1-01451-7501,1254-R1,8,1,86,2000,187530,8035660,42.8,40399991,215,271.9807119,10153462.49,54.14313706,51004542.9
1-01455-7501,1144-R1,8,1,218,1999,310519,13700098,44.1,68900000,222,280.8358979,17323132,55.7876716,87204882.18
1-01457-7501,269-R1,8,1,54,1985,55942,1984822,35.5,9979994,178,225.1747289,2512268.126,44.90844313,12596724.68
1-01458-7501,480-R1,8,2,16,1910,12000,305040,25.4,1480000,123,155.5982677,385580.0976,32.1316748,1867179.212
1-01458-7502,645-R1,8,2,238,1958,304510,7055496,23.17,31500000,103,130.2977364,8925390.77,29.31066556,39676963.71
1-01458-7503,720-R1,8,2,495,1956,456286,11078624,24.28,49500000,108,136.6228692,14014753.78,30.71484504,62339102.5
1-01458-7504,1197-R1,8,2,16,1910,4267,199994,46.9,1010000,237,299.8112964,253160.0261,59.32974599,1279294.802
1-01460-7501,352-R1,8,1,158,1959,142140,4450403,31.3,18684230,131,165.7184803,5628080.425,39.59533154,23555224.79
1-01464-7501,134-R1,8,1,216,1984,248163,8588921,34.6,43200010,174,220.1146226,10862074.46,43.76991922,54624305.09
1-01466-7501,741-R1,8,1,205,1990,322581,12538723,38.9,62999986,195,246.6801806,15874060.51,49.20953345,79574339.34
1-01467-7501,687-R1,8,1,28,1910,19747,570095,28.9,2760000,140,177.1037194,721935.8609,36.55926778,3497267.147
1-01469-7501,649-R1,8,2,250,1962,273109,7210077,26.4,34900000,128,161.9234006,9120939.714,33.39670137,44222738.01
1-01470-7501,1203-R1,8,1,181,1999,200000,8446000,42.2,42500003,213,269.4506588,10676824.22,53.38412112,53890131.76
1-01471-7501,1300-R1,8,1,26,1900,24989,749919,30,3630003,145,183.4288522,948352.4665,37.95079701,4583703.588
1-01473-7501,246-R1,8,1,208,1986,205982,7370035,35.8,37100010,180,227.704782,9328502.743,45.2879511,46903086.41
1-01473-7502,593-R1,8,1,122,1959,141945,3639469,25.6,17599994,124,156.8632943,4596843.418,32.38468011,22265960.31
1-01473-7503,673-R1,8,2,36,1910,21145,555056,26.2,2690000,127,160.658374,700823.453,33.14369605,3397121.318
1-01473-7504,1458-R1,8,1,53,2004,108075,4000000,37,20099992,186,235.2949414,5058556.611,46.80598298,25429500.79
1-01483-7501,610-R1,8,1,147,1989,233223,7420000,31.8,35900003,154,194.8140913,9382058.655,40.22784483,45435126.82
1-01484-7501,1798-R1,8,1,361,1985,470423,22006388,46.8,111000028,236,298.5462698,27850567.34,59.20324333,140443031.9
1-01487-7501,239-R1,8,1,95,1956,50038,1450101,29,7029998,140,177.1037194,1835682.581,36.68577044,8861915.911
1-01487-7502,419-R1,8,1,209,1986,317169,12119027,38.2,60899998,192,242.8851008,15326879.47,48.32401486,77035624.54
1-01491-7501,26-R1,8,1,126,1973,199534,6259381,31.4,30299980,152,192.2840382,7925856.465,39.7218342,38367203.28
1-01491-7502,35-R1,8,1,13,1926,50888,1670000,32.8,8090000,159,201.1392241,2111489.24,41.4928714,10235572.84
1-01492-7501,531-R1,8,1,50,1987,101117,3759530,37.2,18899997,187,236.559968,4758463.719,47.05898829,23920234.28
1-01493-7501,51-R1,8,1,32,1981,50384,1670229,33.1,8090012,161,203.6692773,2109697.962,41.87237937,10261672.87
1-01493-7503,180-R1,8,2,17,1910,22751,559902,24.61,2500000,110,139.1529224,708291.044,31.13230381,3165868.138
1-01493-7504,912-R1,8,1,23,1929,52387,1609852,30.7,7800000,149,188.4889585,2034518.065,38.8363156,9874371.069
1-01495-7501,365-R1,8,2,56,1938,83594,2500296,29.9,12100000,145,183.4288522,3161884.062,37.82429435,15333551.47
1-01496-7501,444-R1,8,1,92,1987,152249,5739787,37.7,28899993,190,240.3550477,7260983.423,47.69150157,36593815.66
1-01497-7501,825-R1,8,1,54,1928,140295,5290524,37.7,26600000,190,240.3550477,6690879.213,47.69150157,33720611.42
1-01497-7501,825-R2,8,1,12,1928,3812,145008,38,729000,191,241.6200743,183246.6884,48.07100954,921055.7232
1-01498-7501,164-R1,8,1,46,1924,97767,2925188,29.9,14199994,145,183.4288522,3697967.786,37.82429435,17933288.59
1-01499-7501,343-R1,8,1,18,1986,60288,2334954,38.7,11700000,194,245.415154,2951491.169,48.95652814,14795588.8
1-01501-7501,810-R1,8,2,251,1969,487413,12048849,24.72,53800000,110,139.1529224,15242114.54,31.27145673,67824943.37
1-01505-7501,28-R1,8,1,29,1980,23232,785000,33.8,3638121,157,198.609171,993351.4854,42.75789796,4614088.261
1-01505-7502,100-R1,8,1,215,1984,299069,11265929,37.7,56599995,189,239.0900211,14263049.68,47.69150157,71504413.52
1-01507-7501,232-R1,8,1,17,1985,25633,885107,34.5,4449997,174,220.1146226,1118711.697,43.64341656,5642198.121
1-01510-7501,1698-R1,8,1,95,1985,138096,5660000,41,28499989,206,260.5954728,7162499.46,51.86608924,35987192.41
1-01511-7501,522-R1,8,2,32,1916,48138,1300207,27,6300000,131,165.7184803,1644187.92,34.15571731,7977356.205
1-01513-7501,318-R1,8,1,219,1987,285668,10401171,36.4,52299999,183,231.4998617,13154144.98,46.04696704,66132102.49
1-01513-7502,1308-R1,8,1,102,1986,82637,3555043,43,17899994,217,274.510765,4495134.018,54.39614238,22684746.09
1-01514-7501,611-R1,8,2,16,1920,15101,374957,24.83,1680000,111,140.4179489,474331.6165,31.41060966,2120451.446
1-01515-7501,264-R1,8,1,65,1939,60335,1819703,30.2,8819995,146,184.6938788,2305026.413,38.20380232,11143505.18
1-01515-7502,782-R1,8,1,223,1981,346269,14210879,41,71499993,206,260.5954728,17959618.86,51.86608924,90236133.77
1-01515-7503,842-R1,8,1,241,1991,343000,13126610,38.3,65999990,192,242.8851008,16618527.51,48.45051751,83309589.57
1-01516-7501,422-R1,8,1,42,1928,50156,1539789,30.7,7459997,149,188.4889585,1947874.245,38.8363156,9453852.203
1-01516-7502,1260-R1,8,2,198,1972,295573,8568661,29,41500000,140,177.1037194,10843323.23,36.68577044,52347077.65
1-01517-7501,454-R1,8,1,59,1929,71863,1764955,24.56,7889996,110,139.1529224,2232715.318,31.06905248,9999946.462
1-01518-7501,170-R1,8,1,104,1962,88510,2670346,30.2,12900000,146,184.6938788,3381418.543,38.20380232,16347255.21
1-01519-7501,1358-R1,8,1,94,2003,199437,8585762,43,43200001,217,274.510765,10848603.45,54.39614238,54747603.44
1-01521-7501,742-R1,8,1,30,1989,43060,1744791,40.5,8770000,204,258.0654197,2206117.781,51.23357596,11112296.97
1-01524-7501,526-R1,8,1,59,1928,95534,2436117,25.5,11799997,124,156.8632943,3081752.725,32.25817746,14985777.96
1-01524-7502,929-R1,8,2,100,1985,104951,3680000,35.1,18500000,176,222.6446758,4660079.693,44.4024325,23366781.37
1-01526-7501,895-R1,8,1,100,1926,194747,8399438,43.1,42200007,217,274.510765,10618121.55,54.52264503,53460147.95
1-01526-7502,1242-R1,8,1,147,1963,161572,4349518,26.9,21099998,131,165.7184803,5498168.269,34.02921465,26775466.3
1-01527-7501,172-R1,8,1,61,1985,99039,3600000,36.3,18100004,183,231.4998617,4547916.872,45.92046438,22927514.8
1-01532-7501,706-R1,8,1,60,1981,59228,2250071,38,11300002,191,241.6200743,2847149.753,48.07100954,14310673.76
1-01534-7501,404-R1,8,1,253,1987,235069,8601174,36.6,43200006,184,232.7648883,10883688.2,46.29997235,54715809.53
1-01534-7502,1738-R1,8,1,19,0,8600,318200,37,1599998,186,235.2949414,402531.4536,46.80598298,2023536.496
1-01536-7501,1277-R1,8,1,1258,1975,1496819,50906814,34,252160867,168,212.5244632,64379537.24,43.01090328,318110654.5
1-01539-7501,234-R1,8,1,290,1975,391767,11800022,30.1,57200026,146,184.6938788,14917429.46,38.07729966,72356966.82
1-01540-7501,1767-R1,8,1,43,0,43065,1546033,35.9,7770000,180,227.704782,1955773.451,45.41445375,9806106.437
1-01542-7501,250-R1,8,1,538,1975,433154,13280501,30.7,64299989,148,187.2239319,16822105.45,38.8363156,81096795
1-01543-7501,726-R1,8,1,328,1973,331552,8918748,26.9,43200015,130,164.4534537,11282454.18,34.02921465,54524871.48
1-01544-7501,1586-R1,8,1,149,1998,213419,8323341,39,41800012,196,247.9452071,10529247.49,49.33603611,52916218.15
1-01547-7501,1346-R1,8,1,14,1915,7921,214975,27.1,1040001,131,165.7184803,271549.4643,34.28221996,1312656.082
1-01548-7501,585-R1,8,2,27,1925,16350,399921,24.46,1790000,109,137.8878958,505910.6897,30.94254983,2254467.096
1-01550-7501,768-R1,8,1,163,1988,273330,8831292,32.3,42800004,157,198.609171,11168361.68,40.86035811,54285844.71
1-01551-7501,500-R1,8,0,14,1915,8345,280000,33.6,1360001,163,206.1993304,354703.3292,42.50489265,1720733.412
1-01552-7501,322-R1,8,1,26,1910,13796,370560,26.9,1799998,130,164.4534537,469467.0453,34.02921465,2268799.847
1-01552-7502,507-R1,8,1,31,1987,25593,890124,34.8,4480001,175,221.3796492,1126678.707,44.02292453,5665769.362
1-01554-7501,2006-R1,8,1,154,2000,181821,7514661,41.3,35570267,196,247.9452071,9499346.73,52.24559721,45081645.5
1-01555-7501,524-R1,8,1,221,1987,220209,6634897,30.1,32099993,146,184.6938788,8384964.081,38.07729966,40671254.36
1-01557-7501,483-R1,8,1,18,1987,17550,570024,32.5,2760001,157,198.609171,721539.5282,41.11336343,3485590.951
1-01562-7501,1539-R1,8,1,120,2005,180466,5500603,30.5,26699981,148,187.2239319,6962975.675,38.58331029,33787554.09
1-01564-7502,396-R1,8,1,88,1988,105768,3864762,36.5,19399996,183,231.4998617,4883675.542,46.17346969,24485277.37
1-01565-7501,942-R1,8,1,45,1935,51750,1300000,25.1,5809996,112,141.6829755,1643174.633,31.75216683,7332093.982
1-01566-7501,440-R1,8,1,142,1986,167332,5945305,35.5,29900005,179,226.4397555,7514619.606,44.90844313,37890617.17
1-01569-7501,117-R1,8,1,82,1910,109500,3050000,27.9,14799998,135,170.7785865,3864719.414,35.29424122,18700255.22
1-01569-7502,605-R1,8,1,197,1963,163567,4439208,27.1,21500019,131,165.7184803,5607439.872,34.28221996,27106074.67
1-01569-7503,1701-R1,8,1,128,1999,112798,3717822,33,18000007,160,202.4042507,4708851.401,41.74587671,22830794.67
1-01576-7501,277-R1,8,1,91,1986,81223,2945145,36.3,14800002,182,230.2348352,3729797.878,45.92046438,18700364.02
1-01577-7501,33-R1,8,1,163,1964,103108,2800413,27.2,13599999,132,166.9835068,3547814.572,34.40872262,17217335.42
1-01577-7502,45-R1,8,1,68,1981,137403,4990476,36.3,25099998,183,231.4998617,6309609.567,45.92046438,31808775.5
1-01577-7503,207-R1,8,1,16,1981,18290,535000,29.3,2589997,142,179.6337725,677923.9421,37.06527841,3285501.699
1-01578-7501,517-R1,8,1,82,1988,118052,4195568,35.5,21100004,179,226.4397555,5301531.528,44.90844313,26731666.02
1-01578-7502,1481-R1,8,1,32,1910,12888,373752,29,1860001,144,182.1638256,472806.2094,36.68577044,2347727.384
1-01580-7501,1130-R1,8,1,40,1999,119396,5000304,41.9,25100003,210,265.6555791,6328538.792,53.00461315,31718213.52
1-01602-7501,1167-R1,8,1,60,1924,108700,3340351,30.7,16199998,149,188.4889585,4221507.506,38.8363156,20488749.79
1-01607-7501,1669-R1,8,1,51,1928,120464,3975312,33,19300001,160,202.4042507,5028875.292,41.74587671,24382425.66
1-01613-7501,267-R1,8,1,59,1925,63284,1430218,22.6,6390000,101,127.7676833,1809264.272,28.58960041,8085650.07
1-01614-7501,1285-R1,8,1,11,2003,7742,185033,23.9,826997,107,135.3578427,234072.6728,30.23413495,1047940.418
1-01113-7501,62-R1,9,1,166,1982,202235,8089400,40,40699997,201,236.2904676,9509692.083,47.02297863,47786202.72
1-01113-7502,953-R1,9,1,158,1960,415113,16604520,40,83500004,201,236.2904676,19519849.73,47.02297863,98087244.88
1-01114-7501,184-R1,9,1,94,1930,125900,4532400,36,22800010,181,212.7789783,5328173.709,42.32068077,26788873.37
1-01114-7502,941-R1,9,1,120,1987,146748,5576424,38,27999991,191,224.534723,6555501.665,44.6718297,32950021.53
1-01114-7503,1653-R1,9,1,202,2005,730068,35043264,48,176000003,241,283.3134463,41195966.36,56.42757436,206838081.1
1-01115-7501,612-R1,9,1,425,1932,598316,20941060,35,105018670,176,206.901106,24617775.42,41.1451063,123792242.1
1-01115-7502,1219-R1,9,2,277,1981,276911,11353351,41,57100000,206,242.16834,13346709.54,48.1985531,67059077.2
1-01116-7501,125-R1,9,1,655,1970,806195,28216825,35,141999993,176,206.901106,33170978.97,41.1451063,166802637.2
1-01116-7502,2001-R1,9,1,53,1999,146262,5850480,40,29400000,201,236.2904676,6877674.9,47.02297863,34560316.37
1-01117-7501,107-R1,9,1,11,1983,9335,313002,33.5,1520000,163,191.6186379,367628.5859,39.38174461,1788759.985
1-01117-7502,1303-R1,9,1,65,1911,87712,3508480,40,17599989,201,236.2904676,4124479.502,47.02297863,20725509.49
1-01118-7501,241-R1,9,1,54,1939,40545,1379000,34,6929995,171,201.0232337,1620564.668,39.96953184,8150487.01
1-01118-7502,913-R1,9,1,26,1986,58898,2355920,40,11800001,200,235.1148932,2769559.395,47.02297863,13847796.98
1-01120-7501,126-R1,9,1,175,1983,154328,5555808,36,27899994,181,212.7789783,6531266.022,42.32068077,32837754.16
1-01124-7501,181-R1,9,2,142,1926,114510,4122360,36,20700000,181,212.7789783,4846141.155,42.32068077,24365320.81
1-01125-7501,1201-R1,9,1,132,1928,139400,5018400,36,25199976,181,212.7789783,5899502.899,42.32068077,29661389.58
1-01125-7502,1607-R1,9,1,158,1924,239122,9564880,40,48100002,201,236.2904676,11244228.7,47.02297863,56502249.19
1-01126-7502,763-R1,9,1,62,1900,57627,1959318,34,9850000,171,201.0232337,2303324.211,39.96953184,11584365.89
1-01128-7502,677-R1,9,0,13,1910,8625,310000,35.9,1559998,181,212.7789783,364001.9386,42.20312332,1835218.688
1-01129-7501,634-R1,9,0,13,1900,6641,245717,37,1240001,187,219.8324251,288858.631,43.49625524,1459907.135
1-01131-7501,1055-R1,9,1,133,1998,239035,10039470,42,50500003,211,248.0462123,11802144.58,49.37412757,59291726.36
1-01132-7501,492-R1,9,1,222,1988,269253,10770120,40,54200009,201,236.2904676,12661078.07,47.02297863,63621917.27
1-01137-7501,760-R1,9,1,347,1989,442560,20358000,46,102000001,230,270.3821271,23932062.84,54.07642543,119660314.2
1-01138-7501,921-R1,9,1,143,1995,271808,11415936,42,57399997,211,248.0462123,13420282.87,49.37412757,67420944.87
1-01138-7502,966-R1,9,1,199,1997,320750,13792250,43,69300036,216,253.9240846,16213816.93,50.54970203,81446150.14
1-01139-7501,351-R1,9,1,75,1985,68609,2607142,38,13100004,191,224.534723,3064889.564,44.6718297,15405102.81
1-01139-7503,893-R1,9,1,281,1992,325921,13688682,42,68800020,211,248.0462123,16092065.03,49.37412757,80843469.56
1-01140-7501,160-R1,9,1,680,1965,665236,23283260,35,117000029,176,206.901106,27371205.93,41.1451063,137638064.2
1-01140-7502,417-R1,9,1,161,1987,239435,9577400,40,48199997,201,236.2904676,11258946.89,47.02297863,56576208.11
