 Boro-Block-Lot, Condo Section, Neighborhood, Building Classification, Total Units, Year Built, Gross SqFt, Est. Gross Income, Gross Income per SqFt, Full Market Value,Market Value per SqFt,Normalized Market Value per SqFt,Normalized Gross Income,Normalized Gross Income per sqt,normailized full market value
1-00569-7504,1028-R1,2,1,115,1903,60860,1580000,26,7659987,126,152.5058868,1901491.661,31.24370129,9281508.271
1-00571-7501,27-R1,2,2,39,1928,42384,1120000,26.4,5430000,128,154.9266152,1344605.852,31.72437362,6566409.659
1-00572-7501,747-R1,2,2,23,1952,13256,340000,25.6,1650000,124,150.0851584,407794.712,30.76302897,1989528.86
1-00572-7502,1256-R1,2,0,18,1900,12695,450000,35.4,2113056,166,200.920454,540038.9651,42.53950099,2550685.164
1-00573-7502,89-R1,2,2,119,1959,94250,2285000,24.24,10200000,108,130.7193315,2745384.032,29.12874305,12320296.99
1-00575-7501,515-R1,2,2,15,1900,9380,255000,27.2,1240000,132,159.7680719,306592.0375,32.68571828,1498624.514
1-00576-7501,3-R1,2,1,70,1966,82017,1935000,23.59,8649995,105,127.088239,2324989.253,28.34765052,10423396.1
1-00576-7502,421-R1,2,1,105,1931,112050,3100000,27.7,14999999,134,162.1888003,3729758.901,33.28655869,18173255.07
1-00576-7503,886-R1,2,2,30,1910,34168,815000,23.85,3640000,107,129.5089674,979257.8707,28.66008753,4425062.398
1-00577-7502,1180-R1,2,1,77,1906,178985,6750000,37.7,33900001,189,228.7588302,8108623.121,45.30336688,40944399.22
1-00528-7501,426-R1,2,1,32,1986,35225,1030000,29.2,4990000,142,171.8717137,1236012.84,35.08907991,6054181.115
1-00528-7502,495-R1,2,1,12,1986,15990,460000,28.8,2230001,139,168.2406212,553388.4374,34.60840759,2690167.533
1-00584-7501,743-R1,2,2,169,1925,100633,2300000,22.86,10300000,102,123.4571465,2764431.13,27.47042352,12423863.02
1-00587-7501,293-R1,2,0,30,1929,19320,450000,23.29,2009999,104,125.8778748,540711.6659,27.98714627,2431960.541
1-00589-7501,48-R1,2,1,43,1929,66282,1760000,26.6,8530000,129,156.1369793,2118684.894,31.96470979,10349071.26
1-00590-7502,608-R1,2,2,86,1930,89510,2270000,25.4,10100000,113,136.7711525,2732086.233,30.5226928,12242385.86
1-00592-7501,562-R1,2,1,45,1900,21494,590000,27.4,2860003,133,160.9784361,707712.6141,32.92605444,3460070.506
1-00593-7501,663-R1,2,2,30,1910,21738,650000,29.9,3150000,145,175.5028062,781051.9156,35.93025649,3815080.001
1-00593-7502,1678-R1,2,1,18,1915,44820,1345000,30,6520005,145,175.5028062,1615780.029,36.05042457,7866035.774
