MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt,Latitude,Longtitude
1-00172-7502,1433-R1,81 WHITE STREET,CHINATOWN,R4-ELEVATOR,11,1915,28500,865000,30.4,4029998,141,40.7174991,-74.002409
1-00204-7501,1509-R1,158 HESTER STREET,CHINATOWN,R4-ELEVATOR,61,2004,60962,2072708,34,9649999,158,40.7176062,-73.9930877
1-00172-7501,730-R1,374 BROADWAY,CHINATOWN,R4-ELEVATOR,163,1990,126500,3921500,31,18299991,145,40.7177017,-74.004039
1-00239-7501,744-R1,80 ELIZABETH STREET,CHINATOWN,R4-ELEVATOR,80,1929,85956,2320812,27,9610003,112,40.7179405,-74.0063292
1-00206-7501,1791-R1,123 BAXTER STREET,CHINATOWN,R4-ELEVATOR,23,2003,46545,1870000,40.2,9179999,197,40.718243,-74.0057564
1-00238-7503,1945-R1,87 ELIZABETH STREET,CHINATOWN,R4-ELEVATOR,18,1899,14777,339871,23,1410006,95,40.718262,-74.0037054
1-00235-7501,1936-R1,136 BAXTER STREET,CHINATOWN,R4-ELEVATOR,12,1915,28370,865463,30.5,4029999,142,40.7187153,-74.0017556
1-00208-7501,1385-R1,129 LAFAYETTE STREET,CHINATOWN,R4-ELEVATOR,27,1900,70649,2171001,30.7,10100001,143,40.718874,-74.0040369
1-00236-7501,815-R1,173 GRAND STREET,CHINATOWN,R4-ELEVATOR,39,1990,25786,799366,31,3719998,144,40.7193559,-74.004758
1-00234-7501,1235-R1,161 GRAND STREET,CHINATOWN,R4-ELEVATOR,18,1911,45148,1343153,29.8,6259999,139,40.7197583,-74.000225
1-00135-7501,25-R1,260 BROADWAY,CIVIC CENTER,R9-CONDOPS,65,1915,112500,2925000,26,12100000,108,40.7134134,-74.006062
1-00134-7503,1148-R1,9 MURRAY STREET,CIVIC CENTER,R4-ELEVATOR,27,1900,59853,1616031,27,6690001,112,40.7136818,-74.0037737
1-00134-7505,1796-R1,25 MURRAY STREET,CIVIC CENTER,R4-ELEVATOR,75,1930,118046,4131610,35,19199996,163,40.7138634,-73.9984542
