MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt,Latitude,Longtitude
1-01922-7501,1733-R1,227 WEST 116 STREET,3,1,16,1910,15210,304000,19.99,1139999,75,40.80409,-73.9544781
1-01923-7501,1894-R1,257 WEST 117 STREET,3,1,47,1892,87400,1573000,18,5879995,67,40.804855,-73.9549645
1-01721-7501,751-R1,3 WEST 122 STREET,3,1,24,1900,27073,500000,18.47,1869999,69,40.8052516,-73.953513
1-01924-7501,1348-R1,163 ST NICHOLAS AVENUE,3,1,64,2003,63252,1707804,27,7069998,112,40.805522,-73.9531178
1-01943-7501,793-R1,352 WEST 117 STREET,3,1,41,1900,45436,1000000,22.01,4139998,91,40.8057669,-73.954531
1-01943-7502,1373-R1,364      368 WEST 117 STR,3,1,49,1901,66936,1406000,21.01,5820000,87,40.8059834,-73.9567751
1-01924-7502,1488-R2,276 WEST 119 STREET,3,1,22,2004,19500,663000,34,3090000,158,40.806049,-73.941739
1-01945-7504,1762-R1,2187 FRED DOUGLASS BOULEV,3,1,93,2006,108572,3257000,30,15199997,140,40.8061261,-73.9474509
1-01945-7502,1391-R1,309 WEST 118 STREET,3,1,48,2003,108510,3634000,33.5,16900001,156,40.8061474,-73.938435
1-01924-7502,1488-R1,2216 FRED DOUGLASS BOULEV,3,1,74,2003,59844,2035000,34,9480000,158,40.8066272,-73.939516
1-01946-7501,1681-R1,313 WEST 119 STREET,3,1,54,2006,67413,2022000,30,9419999,140,40.806892,-73.943353
1-01724-7503,1865-R1,2056 5 AVENUE,3,1,21,1920,24795,300000,12.1,843002,34,40.807698,-73.940461
1-01908-7502,1699-R1,138 WEST 124 STREET,3,1,21,1906,46991,1175000,25,4870000,104,40.8077066,-73.937299
1-01753-7502,1656-R1,50 EAST 129 STREET,3,1,18,2004,15023,570000,37.9,2659996,177,40.80783,-73.95265
1-01753-7501,1525-R1,23 EAST 128 STREET,3,1,12,2005,12000,455000,37.9,2120004,177,40.808058,-73.950967
1-01724-7501,1713-R1,50 WEST 127 STREET,3,1,23,2005,32150,750000,23.33,3109998,97,40.808302,-73.943524
1-01753-7503,1985-R1,2077 5 AVENUE,3,1,13,2007,24731,900000,36.4,4189999,169,40.8083637,-73.943642
1-01950-7501,1852-R1,258 ST NICHOLAS AVENUE,3,1,52,2006,70212,1474452,21,6100000,87,40.8093064,-73.940023
1-01930-7501,1712-R1,267 WEST 124 STREET,3,1,11,1910,25230,631000,25,2609999,103,40.809456,-73.941333
1-01727-7501,1578-R1,380 LENOX AVENUE,3,1,77,2005,131237,3850000,29.3,17899996,136,40.8103128,-73.950379
1-01914-7502,1690-R1,381 LENOX AVENUE,3,1,19,2007,29315,997000,34,4640000,158,40.8104436,-73.9445035
1-01729-7501,846-R1,55 WEST 131 STREET,3,1,34,1898,28408,575000,20.24,2150009,76,40.811256,-73.939474
1-02007-7501,1922-R1,555 LENOX AVENUE,3,1,32,1910,23822,714660,30,3330000,140,40.8161696,-73.9433438
1-01942-7502,1284-R1,2322 ADAM C POWELL BOULEV,3,1,36,1933,38386,768000,20.01,2870001,75,40.8163752,-73.9471326
1-01959-7501,1423-R1,300 WEST 135 STREET,3,1,170,2003,240000,6000000,25,24899999,104,40.8165441,-73.945589
1-02041-7504,1919-R1,2601 FRED DOUGLASS BOULEV,3,1,20,2006,28879,1010765,35,4710000,163,40.818891,-73.945994
1-02041-7503,1716-R1,2605 FRED DOUGLASS BOULEV,3,1,14,1894,18306,641000,35,2990000,163,40.8189948,-73.945155
1-02044-7502,1511-R1,24 BRADHURST AVENUE,3,1,26,1920,35390,708000,20.01,2650003,75,40.8221919,-73.945595
1-02045-7501,1640-R1,68 BRADHURST AVENUE,3,1,180,2005,204835,6145000,30,28599996,140,40.823284,-73.942142
1-01823-7501,807-R1,66 ST NICHOLAS' AVENUE,3,1,54,1915,58429,1052000,18,3930000,67,40.8289479,-73.945158
1-01745-7501,1382-R1,1825 MADISON AVENUE,3,2,92,2003,97592,3000000,30.7,14000000,143,40.8015247,-73.9450788
1-01600-7501,1073-R1,130 LENOX AVENUE,3,2,240,1999,312016,8736000,28,36200000,116,40.8023131,-73.9445948
1-01901-7501,1478-R1,106 WEST 117 STREET,3,2,28,2004,52916,1799000,34,8380000,158,40.8026264,-73.9436775
1-01901-7501,1478-R2,101 WEST 117 STREET,3,2,23,2004,37719,1282000,34,5970000,158,40.80304,-73.9426115
1-01947-7501,1289-R1,2235 FRED DOUGLASS BOULEV,3,2,74,2003,93600,2808000,30,13100000,140,40.8066825,-73.9434689
1-02044-7501,1422-R1,300 WEST 145 STREET,3,2,128,2003,212047,6361000,30,29600000,140,40.822906,-73.942301
1-02051-7501,1327-R1,330 WEST 145 STREET,3,2,77,2001,91858,2756000,30,12800000,139,40.823225,-73.9417141
1-02045-7502,1717-R1,102 BRADHURST AVENUE,3,2,135,2005,164085,4923000,30,22900000,140,40.8245836,-73.9401149
1-02034-7501,1365-R1,255 WEST 148 STREET,3,2,104,1920,143389,4015000,28,16600000,116,40.8247261,-73.9410856
1-02045-7503,2049-R1,130 BRADHURST AVENUE,3,2,134,2007,161156,0,0,8695005,54,40.8254554,-73.949125
1-01676-7501,342-R1,311 EAST 104 STREET,3,0,12,1900,6092,135000,22.16,559000,92,40.7891386,-73.9481064
1-01630-7501,441-R2,173 EAST 102 STREET,3,0,17,1920,9590,200000,20.86,747997,78,40.789593,-73.9419757
1-01630-7501,441-R1,169 EAST 102 STREET,3,0,17,1920,9590,200000,20.86,747998,78,40.789675,-73.9485909
1-01632-7501,666-R1,165 EAST 104 STREET,3,0,12,1910,7690,165000,21.46,683006,89,40.790882,-73.941198
1-01785-7501,1901-R1,207 EAST 120 STREET,3,0,11,1900,14440,290000,20.08,1079999,75,40.8004439,-73.9425143
1-01788-7502,1876-R1,206 EAST 124 STREET,3,0,16,1900,12090,200000,16.54,676000,56,40.802569,-73.947051
1-01627-7501,1628-R1,158 EAST 100 STREET,3,1,13,2004,6342,240000,37.8,1120003,177,40.787992,-73.947214
1-01676-7504,1905-R1,2019 1 AVENUE,3,1,38,2007,32660,940000,28.8,3890000,119,40.788567,-73.941792
1-01677-7503,574-R1,319 EAST 105 STREET,3,1,36,1929,33280,865000,26,3579990,108,40.789797,-73.9487259
1-01630-7502,1801-R1,117 EAST 102 STREET,3,1,11,2006,12184,485000,39.8,2380000,195,40.7901809,-73.94627
1-01680-7502,1883-R1,330 EAST 109 STREET,3,1,28,2007,25174,1040000,41.3,5110003,203,40.791764,-73.93977
1-01680-7501,458-R1,305 EAST 108 STREET,3,1,33,1926,46998,940000,20,3509998,75,40.7918049,-73.9406039
1-01681-7502,1942-R1,342 EAST 110 STREET,3,1,35,2007,38481,740000,19.23,2770002,72,40.792237,-73.938936
1-01681-7501,1573-R1,2132 2 AVENUE,3,1,31,2006,32483,1260000,38.8,6190004,191,40.792903,-73.940408
1-01683-7501,1479-R1,324 EAST 112 STREET,3,1,20,2004,22295,825000,37,3840000,172,40.7938229,-73.9386237
1-01661-7501,1403-R1,227 EAST 111 STREET,3,1,22,2003,25721,900000,35,4189997,163,40.7943977,-73.941027
1-01638-7501,1932-R1,161 EAST 110 STREET,3,1,68,2006,65699,1915000,29.1,8920002,136,40.7945597,-73.9434466
1-01710-7503,1958-R1,416 EAST 117 STREET,3,1,15,2007,21472,710000,33.1,3310000,154,40.7961442,-73.9341413
1-01807-7501,1732-R1,414 EAST 120 STREET,3,1,12,2006,9745,300000,30.8,1400000,144,40.798041,-73.932926
1-01795-7501,1956-R1,328 EAST 119 STREET,3,1,20,2008,16136,565000,35,2630000,163,40.7982439,-73.9353299
1-01667-7501,1829-R1,232 EAST 118 STREET,3,1,12,1910,12222,370000,30.3,1719998,141,40.7984719,-73.9378179
1-01783-7501,1923-R1,249 EAST 118 STREET,3,1,28,2006,35526,1245000,35,5799998,163,40.798673,-73.937169
1-01788-7501,1820-R1,2279 3 AVENUE,3,1,11,2006,16737,470000,28.1,1949999,117,40.8027891,-73.9374897
1-01646-7502,1512-R2,215 EAST 96 STREET,3,2,215,2005,184939,8300000,44.9,40700000,220,40.7852783,-73.9439615
1-01674-7501,1471-R1,333 EAST 102 STREET,3,2,233,2003,315656,9500000,30.1,44300000,140,40.7874084,-73.935846
1-01623-7501,1322-R1,1787 MADISON AVENUE,3,2,152,2003,109646,3290000,30,15300000,140,40.8009078,-73.9361572
1-02066-7501,561-R1,443 WEST 151 STREET,3,0,38,1926,25050,701400,28,2909998,116,40.828719,-73.9526037
1-02090-7501,1832-R1,660 RIVERSIDE DRIVE,3,1,54,1908,30886,618000,20.01,2310000,75,40.8259155,-73.9524931
1-02090-7502,2015-R1,668 RIVERSIDE DRIVE,3,1,64,1907,43135,690160,16,2330000,54,40.8262091,-73.9515459
1-02092-7501,1897-R1,680 RIVERSIDE DRIVE,3,1,25,1926,24132,410244,17,1530002,63,40.82716,-73.94799
1-02079-7501,1490-R1,529 WEST 147 STREET,3,1,12,2005,12000,480000,40,2359999,197,40.827363,-73.950885
1-02093-7501,1896-R1,690 RIVERSIDE DRIVE,3,1,35,1920,30441,609000,20.01,2280000,75,40.82775,-73.950436
1-02094-7502,2100-R1,700 RIVERSIDE DRIVE,3,1,36,1920,38578,424358,11,1100001,28.5,40.828373,-73.94345
1-02095-7501,1710-R1,608 WEST 149 STREET,3,1,49,2005,67805,2034000,30,9469995,140,40.829029,-73.949409
1-02067-7501,1823-R2,479 WEST 152 STREET,3,1,20,1920,17565,447907,25.5,1859998,106,40.829624,-73.9436829
1-02096-7501,1680-R1,725 RIVERSIDE DRIVE,3,1,74,1912,107100,1178100,11,13799998,129,40.829971,-73.949448
1-02094-7501,1673-R1,706 RIVERSIDE DRIVE,3,1,50,1913,86020,1978000,22.99,8189999,95,42.1112492,-75.968197
1-01988-7502,1565-R1,504 WEST 136 STREET,3,1,29,2006,31308,1064000,34,4960002,158,40.8196957,-73.952459
1-01988-7501,1273-R1,519 WEST 135 STREET,3,1,13,2002,21862,743000,34,3460000,158,40.819774,-73.953513
1-02221-7501,557-R1,571 ACADEMY STREET,INWOOD,R4-ELEVATOR,89,1925,76970,1385460,18,5179994,67,40.863717,-73.922875
1-02248-7501,1893-R1,175 PAYSON AVENUE,INWOOD,R4-ELEVATOR,12,2006,10950,361350,33,1680000,153,40.868785,-73.923708
1-00734-7501,54-R1,438 WEST 37 STREET,JAVITS CENTER,R4-ELEVATOR,52,1915,110799,3434769,31,16000000,144,40.755935,-73.996854
1-00927-7501,937-R1,312 EAST 22 STREET,KIPS BAY,R4-ELEVATOR,15,1910,20425,674025,33,3140001,154,40.73659,-73.980756
1-00928-7503,1815-R1,340 EAST 23 STREET,KIPS BAY,R4-ELEVATOR,207,2007,233744,10518480,45,51599981,221,40.7369952,-73.9791876
1-00928-7502,580-R2,312 EAST 23 STREET,KIPS BAY,R9-CONDOPS,36,1905,49157,1769652,36,8240000,168,40.7373459,-73.9803206
1-00928-7502,580-R1,310 EAST 23 STREET,KIPS BAY,R9-CONDOPS,98,1905,65393,2354148,36,11000000,168,40.7374156,-73.9805668
1-00935-7501,64-R1,350 EAST 30 STREET,KIPS BAY,R4-ELEVATOR,128,1956,125776,4024832,32,18700001,149,40.741065,-73.9757876
1-00936-7501,40-R1,333 EAST 30 STREET,KIPS BAY,R4-ELEVATOR,1121,1962,1171064,32789792,28,135999890,116,40.7419947,-73.9757191
1-00940-7501,1345-R1,333 EAST 34 STREET,KIPS BAY,R4-ELEVATOR,205,1961,194733,7399854,38,34499994,177,40.7442704,-73.9741085
1-00968-7501,195-R1,630 1 AVENUE,KIPS BAY,R4-ELEVATOR,485,1984,508026,19813014,39,97300000,192,40.7450942,-73.9719206
1-00969-7501,570-R1,415 EAST 37 STREET,KIPS BAY,R4-ELEVATOR,411,1989,510770,19920030,39,97799978,191,40.7457242,-73.9712847
1-00943-7501,528-R1,330 EAST 38 STREET,KIPS BAY,R4-ELEVATOR,818,1986,842317,29481095,35,136999945,163,40.7463583,-73.9725287
1-00944-7501,137-R1,311 EAST 38 STREET,KIPS BAY,R4-ELEVATOR,118,1984,119395,5253380,44,25799999,216,40.7471951,-73.9732966
1-00945-7501,790-R1,300 EAST 40 STREET,KIPS BAY,R9-CONDOPS,586,1967,605018,23595702,39,116000000,192,40.7480687,-73.9730191
1-00470-7501,564-R1,122 ELIZABETH STREET,LITTLE ITALY,R4-ELEVATOR,28,1988,21442,653980,30.5,3050005,142,40.7193834,-73.9954308
1-00472-7501,586-R1,240 CENTRE STREET,LITTLE ITALY,R9-CONDOPS,55,1905,104637,2302014,22,9530000,91,40.7202094,-73.9979778
1-00478-7501,789-R1,354 BROOME STREET,LITTLE ITALY,R4-ELEVATOR,37,1900,56714,1426357,25.1,5910000,104,40.7203184,-73.994875
1-00492-7503,665-R1,200 BOWERY,LITTLE ITALY,R4-ELEVATOR,35,1988,24582,762042,31,3549999,144,40.7213918,-73.9938993
1-00481-7502,1363-R1,225 LAFAYETTE STREET,LITTLE ITALY,R4-ELEVATOR,41,1926,83916,3104892,37,14499997,173,40.72199,-73.996867
1-00494-7502,596-R1,45 SPRING STREET,LITTLE ITALY,R9-CONDOPS,25,1900,12142,303550,25,1260000,104,40.722087,-73.99608
1-00492-7501,174-R1,14 PRINCE STREET,LITTLE ITALY,R4-ELEVATOR,44,1915,39087,996718,25.5,4130003,106,40.7224101,-73.994121
1-00493-7501,2021-R1,211 ELIZABETH STREET,LITTLE ITALY,R4-ELEVATOR,15,2007,28258,0,0,5362866,190,40.7226143,-73.9943449
1-00507-7501,535-R1,11 PRINCE STREET,LITTLE ITALY,R4-ELEVATOR,22,1900,22511,568403,25.3,2349999,104,40.722826,-73.993836
1-00508-7501,527-R1,259 ELIZABETH STREET,LITTLE ITALY,R4-ELEVATOR,26,1987,17117,530000,31,2470001,144,40.7238013,-73.993881
1-00510-7501,1065-R1,285 LAFAYETTE STREET,LITTLE ITALY,R4-ELEVATOR,29,1900,97941,3036171,31,14100000,144,40.7241069,-73.99571
1-00276-7501,858-R1,102 MADISON STREET,LOWER EAST SIDE,R4-ELEVATOR,12,1991,5700,228000,40,1120002,196,40.711943,-73.995397
1-00274-7501,977-R1,48 MARKET STREET,LOWER EAST SIDE,R4-ELEVATOR,26,1990,27046,676150,25,2799997,104,40.7120383,-73.9939715
1-00274-7503,1603-R1,44 MARKET STREET,LOWER EAST SIDE,R4-ELEVATOR,16,2004,9744,389760,40,1909997,196,40.712102,-73.9939692
1-00274-7502,1291-R1,148 MADISON STREET,LOWER EAST SIDE,R4-ELEVATOR,80,2002,43850,1984212,45.2,9740000,222,40.7121662,-73.9929541
1-00273-7501,1438-R1,142 HENRY STREET,LOWER EAST SIDE,R4-ELEVATOR,13,1912,19597,509522,26,2109998,108,40.7132103,-73.990387
1-00284-7501,163-R1,155 HENRY STREET,LOWER EAST SIDE,R4-ELEVATOR,24,1907,21645,551947,25.5,2289998,106,40.713527,-73.989554
1-00284-7502,279-R1,165 HENRY STREET,LOWER EAST SIDE,R4-ELEVATOR,30,1928,21223,541186,25.5,2240002,106,40.713697,-73.98936
1-00284-7503,1575-R1,173 EAST BROADWAY,LOWER EAST SIDE,R4-ELEVATOR,29,1912,43723,1180521,27,4890000,112,40.713857,-73.989531
1-00283-7502,607-R1,135 DIVISION STREET,LOWER EAST SIDE,R4-ELEVATOR,28,1988,19924,547910,27.5,2269996,114,40.7143733,-73.9911732
1-00298-7501,583-R1,51 CANAL STREET,LOWER EAST SIDE,R4-ELEVATOR,41,1941,25795,748055,29,3479992,135,40.7148206,-73.9917404
1-00297-7503,1312-R1,7 ESSEX STREET,LOWER EAST SIDE,R4-ELEVATOR,16,2002,31406,950031,30.2,4430000,141,40.7149201,-73.9902729
1-00298-7503,2020-R1,21 LUDLOW STREET,LOWER EAST SIDE,R4-ELEVATOR,23,1910,17899,357980,20,1340002,75,40.7154045,-73.9910123
1-00297-7502,709-R1,48 HESTER STREET,LOWER EAST SIDE,R4-ELEVATOR,35,1990,23604,708120,30,3300002,140,40.7155594,-73.9905211
1-00309-7501,1425-R1,48 ORCHARD STREET,LOWER EAST SIDE,R4-ELEVATOR,25,2003,39027,1141539,29.2,5320000,136,40.7163827,-73.9909465
1-00343-7501,1954-R1,78 RIDGE STREET,LOWER EAST SIDE,R4-ELEVATOR,53,1930,56354,2250000,39.9,11000000,195,40.717555,-73.983622
1-00408-7501,1881-R1,71 LUDLOW STREET,LOWER EAST SIDE,R4-ELEVATOR,13,1900,31205,980000,31.4,4560004,146,40.717573,-73.989896
1-00413-7501,558-R1,75 ALLEN STREET,LOWER EAST SIDE,R2-WALK-UP,18,1900,7994,310000,38.8,1520001,190,40.717858,-73.991551
1-00418-7501,1290-R1,113 ELDRIDGE STREET,LOWER EAST SIDE,R4-ELEVATOR,12,2002,7042,300000,42.6,1469999,209,40.7182921,-73.9920681
1-00353-7501,1647-R1,103 NORFOLK STREET,LOWER EAST SIDE,R4-ELEVATOR,31,2005,47873,1720000,35.9,8010004,167,40.7189082,-73.9873425
1-00414-7501,728-R1,101 ALLEN STREET,LOWER EAST SIDE,R4-ELEVATOR,16,1900,5130,175000,34.1,815000,159,40.7189549,-73.9908961
1-00349-7501,1107-R1,130 SUFFOLK STREET,LOWER EAST SIDE,R2-WALK-UP,48,1930,61673,2050000,33.2,9550000,155,40.719553,-73.985758
1-00411-7503,1576-R1,133 ESSEX STREET,LOWER EAST SIDE,R4-ELEVATOR,16,1900,14130,445000,31.5,2070003,146,40.7202075,-73.9876239
1-00345-7501,1569-R1,154 ATTORNEY STREET,LOWER EAST SIDE,R4-ELEVATOR,41,2004,39643,1500000,37.8,6990008,176,40.720374,-73.983144
1-00350-7501,1096-R1,20 CLINTON STREET,LOWER EAST SIDE,R4-ELEVATOR,38,1930,32476,925000,28.5,3830011,118,40.720572,-73.9840141
1-00416-7502,1494-R1,62 RIVINGTON STREET,LOWER EAST SIDE,R4-ELEVATOR,12,2003,8664,365000,42.1,1789998,207,40.7207068,-73.9900839
1-00425-7501,1408-R1,195 BOWERY,LOWER EAST SIDE,R4-ELEVATOR,16,1900,26783,960000,35.8,4469998,167,40.720835,-73.993471
1-00416-7501,796-R1,151 ALLEN STREET,LOWER EAST SIDE,R4-ELEVATOR,31,1900,14100,360000,25.5,1489999,106,40.7209062,-73.9899409
1-00421-7502,758-R1,36 RIVINGTON STREET,LOWER EAST SIDE,R4-ELEVATOR,16,1988,13319,490000,36.8,2280001,171,40.7209992,-73.9913354
1-00425-7502,1553-R1,199 BOWERY,LOWER EAST SIDE,R4-ELEVATOR,63,2000,56479,2200000,39,10800012,191,40.721138,-73.993373
1-00422-7502,654-R1,147 EAST HOUSTON STREET,LOWER EAST SIDE,R9-CONDOPS,25,1900,15170,385000,25.4,1590000,105,40.7229922,-73.9896431
1-01832-7501,236-R1,26 WEST 97 STREET,MANHATTAN VALLEY,R4-ELEVATOR,20,1900,13885,319000,22.97,1320002,95,40.792584,-73.965159
1-01833-7502,435-R1,372 CENTRAL PARK WEST,MANHATTAN VALLEY,R4-ELEVATOR,413,1961,390628,6055000,15.5,20500012,52,40.7928698,-73.9646115
1-01833-7501,433-R1,382 CENTRAL PARK WEST,MANHATTAN VALLEY,R4-ELEVATOR,414,1961,390628,6055000,15.5,20500006,52,40.7936758,-73.9659871
1-01833-7504,753-R1,400 CENTRAL PARK WEST,MANHATTAN VALLEY,R4-ELEVATOR,414,1960,390628,6055000,15.5,20500004,52,40.7940232,-73.9632109
1-01833-7503,750-R1,392 CENTRAL PARK WEST,MANHATTAN VALLEY,R4-ELEVATOR,414,1960,390628,6055000,15.5,20499987,52,40.794725,-73.965279
1-01837-7501,281-R1,418 CENTRAL PARK WEST,MANHATTAN VALLEY,R4-ELEVATOR,88,1902,88060,2025000,23,8389996,95,40.7954659,-73.9623884
1-01838-7501,253-R1,420 CENTRAL PARK WEST,MANHATTAN VALLEY,R4-ELEVATOR,60,1941,47400,948000,20,3540000,75,40.795729,-73.962097
1-01838-7502,1780-R1,425 CENTRAL PARK WEST,MANHATTAN VALLEY,R4-ELEVATOR,61,1941,48500,970000,20,3630003,75,40.796047,-73.961894
1-01840-7501,265-R1,110 MANHATTAN AVENUE,MANHATTAN VALLEY,R4-ELEVATOR,77,1986,87732,2456000,28,10199992,116,40.7975511,-73.9619081
1-01841-7503,1387-R1,455 CENTRAL PARK WEST,MANHATTAN VALLEY,R4-ELEVATOR,98,2002,220057,7041824,32,33615845,153,40.7977619,-73.9607392
1-01841-7501,674-R1,5860 WEST 106 STREET,MANHATTAN VALLEY,R4-ELEVATOR,20,1910,20670,413000,19.98,1540003,75,40.798619,-73.962294
1-01842-7501,395-R1,467 CENTRAL PARK WEST,MANHATTAN VALLEY,R4-ELEVATOR,99,1929,115824,1969000,17,7360001,64,40.7986368,-73.9598999
1-01842-7502,786-R1,69 WEST 106 STREET,MANHATTAN VALLEY,R2-WALK-UP,11,1900,9215,276450,30,1289999,140,40.799316,-73.962273
1-01843-7501,1968-R1,67 WEST 107 STREET,MANHATTAN VALLEY,R2-WALK-UP,56,1929,38255,918120,24,3800004,99,40.799831,-73.961573
1-01845-7501,536-R1,300 CATHEDRAL PARKWAY,MANHATTAN VALLEY,R4-ELEVATOR,342,1989,341224,10919000,32,50899992,149,40.8004189,-73.9588539
1-01845-7501,536-R2,301 CATHEDRAL PARKWAY,MANHATTAN VALLEY,R4-ELEVATOR,267,1986,281819,9018000,32,41999978,149,40.8008307,-73.9586478
1-01845-7502,1468-R2,352 CATHEDRAL PARKWAY,MANHATTAN VALLEY,R4-ELEVATOR,25,2005,50523,1566000,31,7289993,144,40.8011836,-73.9598382
1-01847-7502,2038-R1,304 WEST 114 STREET,MANHATTAN VALLEY,R4-ELEVATOR,12,2007,12499,324974,26,1350000,108,40.8032894,-73.9569214
1-01848-7501,1489-R1,304 WEST 115 STREET,MANHATTAN VALLEY,R4-ELEVATOR,15,2004,21583,755000,35,3520001,163,40.8037637,-73.9562067
1-01848-7502,1513-R1,316 WEST 116 STREET,MANHATTAN VALLEY,R4-ELEVATOR,14,1900,24987,550000,22.01,2280001,91,40.804622,-73.956559
1-01279-7501,1961-R1,5 EAST 44 STREET,MIDTOWN CBD,R4-ELEVATOR,23,2007,26026,1431430,55,7029999,270,40.754666,-73.979076
1-01303-7501,305-R1,145 EAST 48 STREET,MIDTOWN CBD,R4-ELEVATOR,207,1985,185540,7792680,42,38299998,206,40.7551234,-73.9724043
1-01287-7501,13-R1,641 5 AVENUE,MIDTOWN CBD,R4-ELEVATOR,226,1973,477801,22456647,47,109999954,230,40.759071,-73.975954
1-01309-7502,420-R1,135 EAST 54 STREET,MIDTOWN CBD,R4-ELEVATOR,145,1951,132205,4627175,35,21599974,163,40.7592574,-73.970743
1-01310-7501,30-R1,141 EAST 55 STREET,MIDTOWN CBD,R4-ELEVATOR,87,1956,70773,2406282,34,11199997,158,40.759509,-73.9694102
1-01310-7503,289-R1,150 EAST 56 STREET,MIDTOWN CBD,R4-ELEVATOR,75,1956,65658,2232372,34,10400000,158,40.7596984,-73.9689437
1-01310-7502,199-R1,667 LEXINGTON AVENUE,MIDTOWN CBD,R4-ELEVATOR,156,1956,141440,4950400,35,23099999,163,40.7598946,-73.9696538
1-01290-7501,1456-R1,60 EAST 55 STREET,MIDTOWN CBD,R4-ELEVATOR,74,2003,115852,5502970,47.5,27000000,233,40.760557,-73.972888
1-01312-7501,16-R1,117 EAST 57 STREET,MIDTOWN CBD,R4-ELEVATOR,236,1975,364872,16054368,44,78800007,216,40.7614435,-73.9699574
1-01313-7501,1350-R1,151 EAST 58 STREET,MIDTOWN CBD,R4-ELEVATOR,105,2001,365000,22265000,61,109000007,299,40.7615678,-73.967902
1-01312-7502,756-R1,465 PARK AVENUE,MIDTOWN CBD,R9-CONDOPS,120,1926,221819,7763665,35,36200000,163,40.7616581,-73.9703227
1-01292-7501,86-R1,721 5 AVENUE,MIDTOWN CBD,R4-ELEVATOR,244,1983,499668,24983400,50,122999979,246,40.762309,-73.9739779
1-01294-7501,144-R1,500 PARK AVENUE,MIDTOWN CBD,R4-ELEVATOR,56,1982,176494,7412748,42,36400001,206,40.7628976,-73.9704806
1-01342-7503,1357-R1,344 EAST 50 STREET,4,0,15,1920,10550,490000,46.4,2410002,228,40.75404,-73.9736853
1-01314-7501,319-R1,235 EAST 40 STREET,4,1,364,1986,351161,15500000,44.1,76100007,217,40.7491205,-73.971275
1-01336-7501,168-R1,806 2 AVENUE,4,1,79,1983,127399,5355000,42,26300023,206,40.750422,-73.9693653
1-01338-7502,614-R1,325 EAST 45 STREET,4,1,166,1977,122021,4750000,38.9,23300004,191,40.7515585,-73.9704022
1-01338-7501,247-R1,846 2 AVENUE,4,1,113,1980,86845,3300000,38,15400016,177,40.7519499,-73.9709905
1-01319-7502,1614-R1,845 2 AVENUE,4,1,18,2001,11861,550000,46.4,2700000,228,40.7520514,-73.971137
1-01319-7501,482-R1,240 EAST 46 STREET,4,1,101,1970,60900,2100000,34.5,9779999,161,40.752533,-73.967524
1-01340-7501,1165-R1,845 UNITED NATIONS PLAZA,4,1,370,2000,825532,51500000,62,252999996,306,40.752579,-73.9670902
1-01341-7505,1792-R1,865 1 AVENUE,4,1,81,1930,78000,2200000,28.2,9110003,117,40.7530226,-73.9713309
1-01320-7504,451-R1,225 EAST 46 STREET,4,1,129,1956,81745,2780000,34,12899997,158,40.7530539,-73.9706772
1-01320-7505,620-R1,236 EAST 47 STREET,4,1,173,1988,164753,7580000,46,37200007,226,40.7531476,-73.9703574
1-01320-7501,85-R1,238 EAST 47 STREET,4,1,231,1982,350000,15400000,44,75599981,216,40.7531763,-73.9678201
1-01341-7503,336-R1,100 UNITED NATIONS PLAZA,4,1,237,1984,438326,19100000,43.6,93800003,214,40.753212,-73.9682775
1-01341-7502,259-R1,317 EAST 48 STREET,4,1,126,1962,82112,2575000,31.4,11999981,146,40.753212,-73.9718218
1-01320-7506,1828-R1,211 EAST 46 STREET,4,1,261,1979,207246,8450000,40.8,41499997,200,40.7532168,-73.9712336
1-01320-7502,238-R1,216 EAST 47 STREET,4,1,48,1985,77029,3160000,41,15499999,201,40.7533621,-73.971712
1-01320-7503,240-R1,210 EAST 47 STREET,4,1,92,1957,63927,2300000,36,10699986,167,40.7535584,-73.967902
1-01341-7501,176-R1,330 EAST 49 STREET,4,1,141,1962,89872,2830000,31.5,13200012,147,40.753586,-73.9698092
1-01322-7501,201-R1,249 EAST 48 STREET,4,1,162,1959,170631,6100000,35.7,28400002,166,40.7538434,-73.967129
1-01342-7501,61-R1,309 EAST 49 STREET,4,1,85,1982,119419,5260000,44,25800003,216,40.7540564,-73.9679836
1-01342-7502,105-R1,301 EAST 49 STREET,4,1,20,1982,33376,1400000,41.9,6870011,206,40.7542526,-73.9685278
1-01362-7502,1279-R1,400 EAST 51 STREET,4,1,113,2002,172926,8650000,50,42500006,246,40.7542786,-73.9654693
1-01343-7504,1809-R1,343 EAST 50 STREET,4,1,23,1900,35615,1535000,43.1,7539998,212,40.7543008,-73.9668813
1-01323-7501,185-R1,255 EAST 49 STREET,4,1,174,1985,193134,8400000,43.5,41200028,213,40.754499,-73.9692871
